"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
772.52,1440.62,22.347,0.816,0.431,1.247,"NGC7814","Spiral",10.9,2.33646,1
432.45,1441.4,22.652,0.844,0.554,1.398,"NGC7814","Spiral",10.9,1.41088,0
192.62,1453.48,20.433,0.66,0.376,1.036,"NGC7814","Spiral",10.9,0.983972,1
347.79,1502.45,23.482,0.677,0.543,1.22,"NGC7814","Spiral",10.9,1.07408,0
807.04,1536.53,23.231,0.645,0.512,1.157,"NGC7814","Spiral",10.9,2.32698,0
440.4,1539.39,21.7,0.594,0.39,0.984,"NGC7814","Spiral",10.9,1.22512,1
1559.65,1553.61,23.347,0.673,0.453,1.126,"NGC7814","Spiral",10.9,4.73513,0
334.06,1557.16,22.497,0.774,0.469,1.243,"NGC7814","Spiral",10.9,0.913887,1
449.51,1633.42,24.191,0.858,0.627,1.485,"NGC7814","Spiral",10.9,1.11246,0
913.62,1636.57,22.42,0.719,0.555,1.274,"NGC7814","Spiral",10.9,2.59723,1
713.37,1714.44,22.978,0.741,0.551,1.292,"NGC7814","Spiral",10.9,1.91752,1
413.72,1724.66,22.144,1.033,0.517,1.55,"NGC7814","Spiral",10.9,0.933872,1
331.07,1737.68,23.309,0.815,0.493,1.308,"NGC7814","Spiral",10.9,0.660487,0
609.49,1753.74,23.575,0.736,0.448,1.184,"NGC7814","Spiral",10.9,1.57383,0
424.34,1755.65,23.228,0.956,0.52,1.476,"NGC7814","Spiral",10.9,0.966464,0
584.49,1779.88,21.731,0.749,0.43,1.179,"NGC7814","Spiral",10.9,1.49562,1
826.83,1869.73,22.829,0.831,0.509,1.34,"NGC7814","Spiral",10.9,2.32242,1
509.94,1966.96,22.235,0.884,0.578,1.462,"NGC7814","Spiral",10.9,1.44224,1
1495.16,95.27,24.208,0.627,0.304,0.931,"NGC7457","S0",10.6,7.08724,0
1980.86,192.02,20.239,0.945,0.601,1.546,"NGC7457","S0",10.6,6.78174,1
2954.06,351.09,23.475,0.56,0.342,0.902,"NGC7457","S0",10.6,6.83031,0
2452.45,380.6,20.089,0.817,0.541,1.358,"NGC7457","S0",10.6,6.44946,1
3843.93,576.83,22.924,0.966,0.644,1.61,"NGC7457","S0",10.6,7.37321,1
1121.87,599.35,21.967,0.901,0.605,1.506,"NGC7457","S0",10.6,6.13782,1
3119.47,658.94,23.58,0.652,0.511,1.163,"NGC7457","S0",10.6,6.31736,0
3323.88,665.66,24.726,0.573,0.356,0.929,"NGC7457","S0",10.6,6.52662,0
2982.5,686.12,23.864,0.896,0.466,1.362,"NGC7457","S0",10.6,6.12574,0
1939.14,910.07,22.294,0.605,0.377,0.982,"NGC7457","S0",10.6,5.09778,1
2537.86,924.77,22.869,0.603,0.387,0.99,"NGC7457","S0",10.6,5.25032,1
2912.21,934.03,22.735,0.639,0.355,0.994,"NGC7457","S0",10.6,5.52755,1
332.17,1005.3,24.626,0.722,0.488,1.21,"NGC7457","S0",10.6,6.16916,0
3757.48,1045.46,24.618,0.484,0.441,0.925,"NGC7457","S0",10.6,6.39495,0
418.2,1068.15,21.192,0.663,0.405,1.068,"NGC7457","S0",10.6,5.92948,1
2228.3,1136.33,22.803,0.937,0.52,1.457,"NGC7457","S0",10.6,4.61523,1
1114.09,1167.11,23.552,0.649,0.431,1.08,"NGC7457","S0",10.6,4.89915,0
3148.59,1191.97,23.884,0.624,0.419,1.043,"NGC7457","S0",10.6,5.25758,0
3843.36,1232.25,20.38,0.839,0.527,1.366,"NGC7457","S0",10.6,6.21717,1
2467.45,1284.84,24.083,0.759,0.468,1.227,"NGC7457","S0",10.6,4.39314,0
1859.4,1290.48,20.061,0.664,0.402,1.066,"NGC7457","S0",10.6,4.21068,1
3357.96,1396.87,23.17,0.813,0.504,1.317,"NGC7457","S0",10.6,5.15959,1
252.31,1418.14,22.998,0.89,0.533,1.423,"NGC7457","S0",10.6,5.56827,1
2769.62,1494.31,20.44,0.566,0.373,0.939,"NGC7457","S0",10.6,4.19926,1
2450.84,1554.49,21.974,0.711,0.393,1.104,"NGC7457","S0",10.6,3.77779,1
2066.66,1619.35,23.238,0.599,0.491,1.09,"NGC7457","S0",10.6,3.44666,0
3981.44,1691.96,20.209,0.629,0.4,1.029,"NGC7457","S0",10.6,5.78316,1
4025.95,1765.54,23.669,0.86,0.662,1.522,"NGC7457","S0",10.6,5.77549,0
2398.25,1793.13,23.545,0.659,0.477,1.136,"NGC7457","S0",10.6,3.20852,0
3470.98,1796.23,24.559,0.595,0.262,0.857,"NGC7457","S0",10.6,4.68164,0
574.94,1864.36,23.308,0.522,0.395,0.917,"NGC7457","S0",10.6,4.30035,0
1851.94,1867.08,24.032,0.557,0.29,0.847,"NGC7457","S0",10.6,2.86233,0
1995.78,1884.77,22.811,0.723,0.445,1.168,"NGC7457","S0",10.6,2.81509,1
2284.92,1905.86,24.485,0.674,0.556,1.23,"NGC7457","S0",10.6,2.87582,0
2817.37,1931.61,22.084,0.829,0.514,1.343,"NGC7457","S0",10.6,3.38941,1
2055.94,1960.29,23.679,0.517,0.507,1.024,"NGC7457","S0",10.6,2.64835,0
1223.09,1997.79,19.971,0.974,0.61,1.584,"NGC7457","S0",10.6,3.05807,1
1998.2,2133.85,24.046,0.557,0.422,0.979,"NGC7457","S0",10.6,2.23211,0
