name type n90 ngc nmm
NGC1023 S0  119 490 2
NGC1172 E   74  480 1
# NGC3379 E   77  270 3
NGC3384 Spiral  45  120 2
NGC4013 Spiral  51  140 2
NGC4382 S0  387 3000 3
NGC4406 E  1026 2900 3
# NGC4472 E  362  5870 3
NGC4473 E  197  540 2
NGC4594 S0 1286 1890 3
NGC4621 E 210 1750 2
NGC4649 E 361 4200 2
NGC4762 S0 50 270 1
NGC5813 E 526 2890 3
NGC5846 E 430 3100 3
NGC5866 S0 51 340 2
NGC7332 S0 53 175 1
NGC7457 S0 65 210 1
Galaxy Spiral 81 130 2
