bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
252.31,"1,418.14",22.998,0.89,0.533,1.423,NGC 7457,S0,10.6,5.56827
"2,769.62","1,494.31",20.44,0.566,0.373,0.939,NGC 7457,S0,10.6,4.19926
"2,450.84","1,554.49",21.974,0.711,0.393,1.104,NGC 7457,S0,10.6,3.77779
"3,981.44","1,691.96",20.209,0.629,0.4,1.029,NGC 7457,S0,10.6,5.78316
"1,995.78","1,884.77",22.811,0.723,0.445,1.168,NGC 7457,S0,10.6,2.81509
"2,817.37","1,931.61",22.084,0.829,0.514,1.343,NGC 7457,S0,10.6,3.38941
"1,223.09","1,997.79",19.971,0.974,0.61,1.584,NGC 7457,S0,10.6,3.05807
879.86,"2,167.3",20.379,1,0.629,1.629,NGC 7457,S0,10.6,3.29438
"3,786.38","2,337.55",22.309,0.731,0.439,1.17,NGC 7457,S0,10.6,4.6588
"1,327.67","2,439.32",22.603,0.694,0.415,1.109,NGC 7457,S0,10.6,2.09238
"2,333.67","2,467.02",23.183,0.659,0.531,1.19,NGC 7457,S0,10.6,1.71093
1399,"2,488.66",22.208,0.74,0.432,1.172,NGC 7457,S0,10.6,1.89362
"3,617.49","2,508.31",19.7,0.743,0.442,1.185,NGC 7457,S0,10.6,4.14764
"2,937.2","2,543.26",22.834,0.759,0.487,1.246,NGC 7457,S0,10.6,2.65039
"1,759.35","2,563.54",22.681,0.578,0.457,1.035,NGC 7457,S0,10.6,1.29596
"2,688.71","2,614.3",22.781,0.672,0.445,1.117,NGC 7457,S0,10.6,2.0636
"1,107.52","2,631.17",21.346,0.589,0.358,0.947,NGC 7457,S0,10.6,2.23101
"2,524.65","2,653.41",22.362,0.643,0.418,1.061,NGC 7457,S0,10.6,1.69439
"2,008.31","2,661.64",22.695,0.77,0.456,1.226,NGC 7457,S0,10.6,1.00243
"1,917.6","2,682.48",22.75,0.723,0.455,1.178,NGC 7457,S0,10.6,0.944405
"1,830.46","2,736.81",22.145,0.713,0.424,1.137,NGC 7457,S0,10.6,0.857555
"2,526.49","2,748.19",22.506,0.659,0.461,1.12,NGC 7457,S0,10.6,1.57586
