name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,M_BH,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,m_K,m_K_err,M_K,M_K_err
NGC4013,Spiral,Sb,1,0.2,179.63075,43.9465833,15.1,1.6,30.9,0.2,-20.38,0.31,1.9,0.5,140,20,Field,1.34,0.74,1.4,14,5,24,R10,10.9,0.1,Our survey,NA,NGC4013,86.5,8.6,3.424,0.3,10.38,0.12,7.63,0.02,-23.26,0.23
NGC4594,S0,S0,2.1,0.3,189.9976325,-11.6230544,9.77,0.84,29.9,0.2,-22.4,0.2,3.2,0.5,1890,200,Field,0.32,0.63,2,54,5,8,R04,11.8,0.1,Our survey,8.81954,NGC4594,240,12,3.41,0.29,11.26,0.08,4.96,0.02,-24.99,0.19
NGC4473,E,E5,2.4,0.5,187.4536583,13.4293194,15.25,0.51,30.9,0.1,-20.9,0.2,2.8,0.6,540,40,Virgo,2.17,0.65,1.82,33,5,32,in Prep,11.21,0.08,Our survey,8.07918,NGC4473,190,9,3.01,0.1,11.00,0.05,7.16,0.02,-23.76,0.08
NGC5866,S0,SA0,1.3,0.4,226.6229117,55.7632133,15.35,0.87,30.9,0.1,-20.94,0.2,1.9,0.5,340,80,Loose,0.24,0.74,1.6,44,11,11,H12,11.2,0.1,Our survey,NA,NGC5866,159,9.8,3.01,0.17,10.85,0.08,6.87,0.02,-24.06,0.12
NGC7814,Spiral,Sab,1.3,0.4,0.8120417,16.1454167,13.18,0.88,30.6,0.1,-20.4,0.28,2.2,0.8,165,25,Field,0.12,0.58,1.3,13,4,17,RZ03,10.9,0.1,Our survey,NA,NGC7814,169.2,7.2,2.84,0.19,10.88,0.06,7.08,0.02,-23.52,0.15
NGC4402,Spiral,Sb,1.5,0.3,186.53189,13.11332,16.3,3,31.1,0.4,-19.95,0.3,2.2,0.7,110,10,Virgo,NA,NA,NA,20.7,5,29,In Prep,10.7,0.119999999999999,Our survey,NA,NGC4402,NA,NA,2.787,0.5,,,8.49,0.01,-22.58,0.40
NGC4157,Spiral,Sb,0.6,0.3,182.7682083,50.4846667,15.43,3.1,30.9,0.4,-20.4,0.2,1.1,0.6,80,20,Field,1.19,0.55,0.6,21,4,20,R07,10.9,0.1,Our survey,NA,NGC4157,90.1,4.3,2.64,0.53,10.30,0.12,7.36,0.02,-23.58,0.44
NGC7339,Spiral,Sab,0.5,0.2,339.4468333,23.7866944,23.1,2.22,31.8,0.2,-21.29,0.25,1.5,0.5,75,10,Field?,0.11,0.6,0.9,9.5,2.9,26,Y12,10.7,0.1,Our survey,NA,NGC7339,NA,NA,2.51,0.23,,,8.56,0.02,-23.26,0.21
NGC4754,S0,SB0,0.6,0.1,193.0728995,11.3138861,16.05,0.55,31.0,0.1,-20.7,0.2,0.9,0.2,115,15,Virgo,2.62,0.4,0.4,15,4,13,H12,11.1,0.1,Our survey,NA,NGC4754,186.4,3.2,2.26,0.1,10.86,0.03,7.41,0.03,-23.61,0.08
NGC1023,S0,SB0,1.7,0.3,40.1000421,39.063285,11.43,1,30.3,0.2,-21.14,0.2,2.7,0.4,490,30,Field?,0.57,0.57,1.5,20.8,3,10,Y12,11.3,0.1,Our survey,7.62325,NGC1023,209,10,2.19,0.15,10.95,0.07,6.24,0.02,-24.05,0.19
