R -2.721 4.1 1
R -5.861 4.21 1
R -7.377 4.17 1
R -2.289 4.43 1
R -3.616 5.29 0
R -7.639 4.6 1
R -4.91 4.4 1
R -7.589 7.31 0
R -3.056 4.37 1
R -4.73 999.999 0
R -3.225 4.68 1
R -3.226 3.89 1
R -8.818 4.44 1
R -8.255 4.35 1
R -2.501 4.77 1
R -3.159 4.02 0
R -3.698 4.6 0
R -6.922 4.13 1
R -4.274 6.54 0
R -4.847 5.83 0
R -2.435 4.22 0
R -4.25 4.41 1
R -2.804 5.56 0
R -3.15 4.32 1
R -8.569 6.5 0
R -5.964 4.15 1
R -6.659 4.77 0
R -5.061 4.18 0
R -4.984 6.74 0
R -4.049 4.36 0
R -2.739 3.02 0
R -3.56 5.5 0
R -7.952 5.65 0
R -3.756 4.82 0
R -4.111 6.52 0
R -1.732 4.91 1
R -5.946 4.24 1
R -4.898 4.6 1
R -4.745 4.28 1
R -2.451 4.54 0
R -3.291 3.67 1
R -4.342 4.28 1
R -4.931 4.66 0
R -5.166 4.54 1
R -2.637 4.3 1
R -5.919 4.16 1
R -5.513 4.54 1
R -5.872 5.19 0
R -3.781 5.12 0
R -5.405 6.6 0
R -4.932 4.22 1
R -5.124 3.88 1
R -7.581 4.26 1
R -4.937 7.62 0
R -2.691 3.67 1
R -3.562 4.94 0
R -4.039 4.88 1
R -6.212 7.63 0
R -3.29 4.55 1
R -5.647 6.36 0
R -3.94 4.21 1
R -7.984 7.93 0
R -4.728 5.51 0
R -2.982 4.42 1
R -5.439 6.35 0
R -3.625 4.43 0
R -3.775 5.2 0
R -8.246 5.92 0
R -3.853 4.45 1
R -8.246 5.92 0
R -2.808 5.12 1
R -4.655 3.72 1
R -3.334 5.35 0
R -3.822 4.69 1
R -5.563 4.26 1
R -3.79 4.53 1
R -4.791 3.87 1
R -5.293 7.91 0
R -5.993 5.42 0
R -5.626 4.35 1
R -6.696 7.37 0
R -3.972 4.61 1
R -4.946 8.24 0
R -4.161 4.65 1
R -3.237 4.81 0
R -4.225 4.54 1
R -3.52 5.69 0
R -3.034 4.75 1
R -5.017 3.99 1
R -4.708 4.01 1
R -5.046 4.36 1
R -4.117 5.34 0
R -1.928 4.71 1
R -3.75 4.3 1
R -3.626 4.65 1
R -6.915 4.18 1
R -3.739 5.16 0
R -0.914 4.31 0
R -6.087 5.77 0
R -4.473 8.36 0
R -2.935 3.21 0
R -7.372 4.15 1
R -4.877 6.08 0
R -6.15 4.23 1
R -6.089 4.23 1
R -3.027 5.48 0
R -3.021 4.22 0
R -4.563 4.23 1
R -5.857 5.26 0
R -3.8 4.81 1
R -4.986 999.999 0
R -7.464 4.28 1
R -5.399 7.36 0
R -2.588 3.94 0
R -5.035 4.13 1
R -3.762 4.94 0
R -5.242 6.82 0
R -2.472 4.91 1
R -2.734 5.23 0
R -2.717 4.87 1
R -6.314 6.12 0
R -3.835 4.09 1
R -3.56 3.28 0
R -3.768 4.27 1
R -3.483 5.96 0
R -4.551 4.04 1
R -8.791 4.43 1
R -8.911 4.4 1
R -5.863 4.3 1
R -4.582 4.52 1
R -2.465 3.79 1
R -3.307 4.75 1
R -8.536 4.6 1
R -6.373 4.14 1
R -4.249 4.85 1
R -3.902 3.91 1
R -6.41 8.05 0
R -6.07 4.44 1
R -3.239 5.5 0
R -5.049 8.42 0
R -4.766 4.91 0
R -4.488 6.57 0
R -3.352 4.5 0
R -4.984 5.48 0
R -3.683 5.32 1
R -4.887 5.52 0
R -4.589 5.63 0
R -4.843 5.07 0
R -4.217 4.98 0
R -5.354 4.88 0
R -3.493 4.79 1
R -8.857 4.43 1
R -6.864 4.32 1
R -7.324 4.1 1
R -2.971 4.09 1
R -8.536 4.6 1
R -3.789 5.06 1
R -2.367 4.53 1
R -4.925 4.1 1
R -5.097 4.19 1
R -5.43 3.95 1
R -4.942 7.44 0
R -4.424 8.57 0
R -5.006 6.35 0
R -7.612 4.12 1
R -5.471 4.18 1
R -3.335 5.79 0
R -5.076 5.76 0
R -3.09 3.85 1
R -6.384 4.0 1
R -6.796 6.57 0
R -4.535 5.02 0
R -3.585 4.68 0
R -4.008 4.97 1
R -4.207 5.23 0
R -6.284 6.58 0
R -4.087 4.16 0
R -2.694 4.87 0
R -5.277 4.88 1
R -5.299 4.75 1
R -5.171 7.33 0
R -3.806 5.08 0
R -2.498 4.44 0
R -4.604 7.11 0
R -5.665 6.56 0
R -3.105 5.0 0
R -4.414 5.11 1
R -3.453 6.02 0
R -3.306 6.42 0
R -3.124 4.33 1
R -4.193 5.5 0
R -6.317 6.96 0
R -3.603 6.25 0
R -4.533 4.38 1
R -5.71 5.98 0
R -3.143 3.71 1
R -3.114 3.61 0
R -3.051 4.16 0
R -8.063 4.22 1
R -5.695 4.34 1
R -6.517 5.04 0
R -4.893 5.21 0
R -4.887 4.47 1
R -3.902 5.05 0
R -5.977 4.36 1
R -2.481 3.59 0
R -9.105 4.35 1
R -5.563 5.25 0
R -2.169 3.48 1
R -2.966 3.81 1
R -3.077 4.88 0
R -3.15 4.85 1
R -5.103 5.45 0
R -4.869 5.86 0
R -4.582 3.99 1
R -4.087 5.41 0
R -4.847 5.41 0
R -4.257 4.27 0
R -8.936 4.25 1
R -4.182 4.49 1
R -3.533 4.97 1
R -6.986 4.18 1
R -2.302 4.83 1
R -5.027 5.61 0
R -4.608 6.12 0
R -2.328 4.77 0
R -3.853 6.06 0
R -5.153 4.49 1
R -3.526 5.17 0
R -3.946 5.28 1
R -3.999 4.58 0
R -4.12 6.58 0
R -5.622 4.28 1
R -3.7 4.1 0
R -5.169 4.38 1
R -3.898 4.17 0
R -2.479 4.48 1
R -4.373 3.84 1
R -3.159 5.02 0
R -3.298 6.23 0
R -5.499 4.15 1
R -3.84 4.33 1
R -4.962 5.28 0
R -3.192 5.29 1
R -3.121 4.49 1
R -2.184 3.73 1
R -5.069 4.62 1
R -3.52 5.33 0
R -4.933 4.11 1
R -3.941 4.1 1
R -4.803 6.17 0
R -8.799 4.29 1
R -3.561 4.87 0
R -5.392 5.62 0
R -7.048 4.19 1
R -3.336 6.56 0
R -5.861 4.43 1
R -3.088 4.26 1
R -4.257 4.37 1
R -5.289 4.19 1
R -3.306 5.55 0
R -3.74 4.06 1
R -1.463 2.33 0
R -3.589 6.11 0
R -2.696 4.69 1
R -4.887 4.2 1
R -2.293 4.27 1
R -7.801 5.18 0
R -2.861 3.42 0
R -2.929 6.01 0
R -3.754 7.59 0
R -6.216 4.14 1
R -3.336 4.3 1
R -3.103 5.38 0
R -2.892 2.32 0
R -4.382 4.13 1
R -6.415 4.58 1
R -3.504 5.48 0
R -3.723 4.72 1
R -2.818 7.03 0
R -2.622 4.25 1
R -3.492 4.94 0
