_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
189.95037	-11.63403	RZ 	3396	21.04	 0.64	 1.06	 2.85	  703.0	 11.0
189.95029	-11.51235	RZ 	3398	21.98	 0.63	 1.05	 7.20	 1654.0	 14.0
189.94933	-11.63357	RZ 	3408	21.91	 0.96	 1.54	 2.91	 1110.0	 17.0
189.94742	-11.58109	RZ 	3426	21.11	 0.85	 1.44	 3.88	  -31.0	  6.0
189.94692	-11.63562	RZ 	3431	20.46	 0.74	 1.21	 3.07	  915.3	 60.2
189.94675	-11.55932	RZ 	3434	22.20	 0.95	 1.48	 4.85	 1053.0	 27.0
189.94600	-11.60159	RZ 	3441	20.93	 0.64	 1.10	 3.30	 1065.0	  8.0
189.94521	-11.77050	RZ 	3448	19.15	 0.98	 1.68	 9.37	   34.0	 27.0
189.94421	-11.61405	RZ 	3461	19.68	 1.03	 1.61	 3.19	 1591.0	 55.0
189.94387	-11.58253	RZ 	3466	19.88	 0.69	 1.17	 3.99	 1029.9	 10.4
189.94283	-11.33911	RZ 	3478	19.88	 1.05	 1.74	17.34	  -37.0	 31.0
189.94225	-11.59350	RZ 	3486	20.54	 0.94	 1.54	 3.71	  898.3	  7.3
189.94208	-11.60361	RZ 	3489	21.39	 0.84	 1.44	 3.47	 1068.0	  8.0
189.94200	-11.63213	RZ 	3491	22.79	 0.95	 1.54	 3.31	  867.0	 17.0
189.94008	-11.65926	RZ 	3506	19.47	 0.96	 1.58	 4.02	  946.6	 28.8
189.93950	-11.62015	RZ 	3512	21.37	 0.58	 1.05	 3.42	 1191.0	 32.0
189.93875	-11.60014	RZ 	3517	19.13	 0.93	 1.51	 3.72	  872.0	  8.0
189.93754	-11.58864	RZ 	3528	22.32	 0.89	 1.51	 4.09	 1178.0	 13.0
190.26454	-11.54034	RZ 	 354	19.61	 0.66	 1.12	16.46	  119.7	 14.6
189.93575	-11.64077	RZ 	3543	19.66	 0.97	 1.58	 3.79	   49.0	 28.0
189.93417	-11.64030	RZ 	3564	21.83	 0.81	 1.35	 3.87	 1337.0	 17.0
189.93396	-11.34166	RZ 	3573	20.14	 0.61	 1.02	17.29	   72.2	 14.7
189.93367	-11.62491	RZ 	3575	20.75	 0.84	 1.42	 3.76	 1146.5	  9.3
189.93271	-11.63368	RZ 	3582	21.48	 0.90	 1.48	 3.87	 1070.3	 17.8
189.93221	-11.58407	RZ 	3592	21.75	 0.69	 1.20	 4.50	  610.0	  8.0
189.93129	-11.59861	RZ 	3601	22.20	 0.88	 1.41	 4.17	 1096.0	 19.0
189.93000	-11.61193	RZ 	3616	21.99	 0.65	 1.10	 4.03	 1430.0	 20.0
189.92883	-11.70003	RZ 	3627	21.77	 0.94	 1.55	 6.14	  254.8	 10.5
189.92871	-11.57168	RZ 	3632	21.33	 0.69	 1.18	 5.09	 1104.5	  7.6
189.92812	-11.71333	RZ 	3638	20.38	 0.67	 1.14	 6.78	  987.2	 45.7
189.92792	-11.60435	RZ 	3643	21.94	 0.71	 1.20	 4.25	 1104.0	 12.0
189.92692	-11.81800	RZ 	3650	20.09	 1.07	 1.73	12.41	  127.0	 28.0
189.92583	-11.59062	RZ 	3662	22.69	 0.61	 1.08	 4.65	 1434.0	 19.0
189.92558	-11.58983	RZ 	3667	21.31	 0.83	 1.36	 4.68	  910.3	  8.9
189.92567	-11.35261	RZ 	3669	20.21	 0.99	 1.66	16.77	  143.0	 30.0
189.92512	-11.68308	RZ 	3676	21.29	 0.96	 1.55	 5.58	 1104.0	104.0
189.92492	-11.64086	RZ 	3680	19.47	 0.70	 1.19	 4.40	 1063.5	  7.6
189.92458	-11.87442	RZ 	3684	19.59	 0.52	 0.88	15.68	  297.0	 40.0
189.92317	-11.61937	RZ 	3704	22.57	 0.80	 1.42	 4.38	 1061.0	 17.0
189.92233	-11.32429	RZ 	3719	21.82	 0.58	 0.97	18.47	 1558.7	 13.1
189.92162	-11.60231	RZ 	3728	20.69	 0.68	 1.13	 4.64	 1186.0	 51.0
189.92021	-11.62019	RZ 	3745	21.29	 0.61	 1.06	 4.55	  817.4	 10.3
189.91617	-11.86081	RZ 	3787	20.86	 0.91	 1.46	15.05	  232.0	 41.0
189.91554	-11.59416	RZ 	3799	22.28	 0.87	 1.50	 5.13	  986.0	 25.0
189.91479	-11.66651	RZ 	3805	20.42	 0.84	 1.39	 5.52	 1088.0	 39.0
189.91271	-11.55461	RZ 	3830	19.91	 0.61	 1.00	 6.46	  142.0	 46.0
189.91212	-11.58671	RZ 	3835	20.47	 0.66	 1.12	 5.48	 1314.7	  7.8
189.91158	-11.66110	RZ 	3841	20.73	 0.72	 1.19	 5.55	  898.3	 43.5
189.91121	-11.33132	RZ 	3849	19.60	 0.61	 1.02	18.23	  198.8	 25.2
190.25687	-11.45166	RZ 	 386	19.21	 0.67	 1.12	18.39	  221.0	 25.0
189.90900	-11.57293	RZ 	3872	21.53	 0.71	 1.11	 6.01	  250.0	 20.0
189.90892	-11.64404	RZ 	3873	20.16	 0.69	 1.15	 5.36	  873.2	  8.9
189.90875	-11.33902	RZ 	3880	19.83	 0.83	 1.40	17.83	  -24.0	 31.0
189.90737	-11.67519	RZ 	3892	19.57	 0.91	 1.49	 6.16	 1136.1	 32.6
189.90650	-11.61101	RZ 	3903	21.14	 0.71	 1.17	 5.40	 1114.0	 19.0
189.90529	-11.70237	RZ 	3915	20.55	 0.59	 0.98	 7.22	  248.5	  9.7
189.90433	-11.71938	RZ 	3924	20.04	 0.72	 1.23	 7.96	  661.4	  9.9
189.90350	-11.57934	RZ 	3937	21.77	 0.79	 1.29	 6.12	  993.0	  8.0
189.90258	-11.32114	RZ 	3948	19.18	 1.01	 1.75	18.96	   66.0	 26.0
189.90208	-11.56172	RZ 	3951	20.61	 0.51	 0.93	 6.71	 1273.0	 11.0
189.90117	-11.55160	RZ 	3960	20.56	 0.82	 1.37	 7.11	  763.0	 19.0
189.90067	-11.67658	RZ 	3962	19.70	 0.93	 1.51	 6.54	  975.0	  9.2
189.90033	-11.56905	RZ 	3965	20.65	 0.63	 1.08	 6.57	 1001.7	 54.4
189.89992	-11.35198	RZ 	3972	21.26	 0.72	 1.20	17.25	 1375.4	  7.7
189.89921	-11.79602	RZ 	3974	20.61	 0.68	 1.16	11.88	 1031.8	 72.3
189.89829	-11.90019	RZ 	3985	20.44	 0.67	 1.12	17.62	 1228.1	  8.7
189.89846	-11.64170	RZ 	3987	19.51	 0.66	 1.15	 5.93	 1338.0	 33.7
190.25579	-11.42067	RZ 	 399	19.65	 0.96	 1.58	19.44	  101.0	 26.0
189.89746	-11.90892	RZ 	3994	19.76	 0.88	 1.43	18.13	   53.0	 23.0
189.89654	-11.86443	RZ 	4009	19.98	 0.65	 1.14	15.65	 1135.3	  7.8
189.89637	-11.50639	RZ 	4011	21.66	 0.78	 1.33	 9.19	 1436.5	 19.7
189.89429	-11.60525	RZ 	4029	20.77	 0.80	 1.30	 6.17	   88.0	 10.0
189.89367	-11.61515	RZ 	4037	19.93	 0.63	 1.04	 6.13	   74.0	 42.0
189.89329	-11.57782	RZ 	4040	22.35	 0.67	 1.19	 6.71	 1345.0	 12.0
189.89075	-11.38578	RZ 	4064	19.39	 0.51	 0.90	15.56	  236.0	 43.0
189.88779	-11.73869	RZ 	4085	21.76	 0.61	 1.10	 9.47	 1337.7	 14.2
189.88696	-11.77374	RZ 	4093	20.83	 0.62	 1.11	11.13	 1386.9	  6.0
189.88692	-11.59851	RZ 	4100	21.85	 0.68	 1.07	 6.67	  874.0	 71.0
189.88642	-11.50868	RZ 	4108	20.18	 0.73	 1.24	 9.48	 1206.3	 64.1
190.25337	-11.61034	RZ 	 411	20.64	 0.57	 0.93	15.05	  224.3	  9.8
189.88496	-11.51466	RZ 	4117	21.34	 0.91	 1.47	 9.28	 1084.8	 12.7
189.88362	-11.59318	RZ 	4129	22.27	 0.84	 1.42	 6.94	  791.0	 21.0
189.88304	-11.56852	RZ 	4134	22.02	 0.91	 1.56	 7.49	  908.0	 25.0
189.88229	-11.61308	RZ 	4140	21.70	 0.62	 1.04	 6.80	  271.0	 19.0
189.88204	-11.58844	RZ 	4143	23.17	 1.08	 1.78	 7.10	  906.0	 24.0
189.88117	-11.60968	RZ 	4158	21.37	 0.71	 1.14	 6.89	 1285.2	119.1
189.88117	-11.56540	RZ 	4160	21.14	 0.63	 1.09	 7.67	 1176.0	 10.0
189.87871	-11.43621	RZ 	4180	19.21	 0.82	 1.36	13.21	  158.0	 19.0
189.87775	-11.64466	RZ 	4191	20.64	 0.75	 1.23	 7.16	   98.5	  8.5
189.87675	-11.55168	RZ 	4201	19.29	 0.65	 1.07	 8.30	   64.0	 39.0
189.87575	-11.60382	RZ 	4206	19.71	 0.70	 1.16	 7.26	  952.8	  6.3
189.87237	-11.49259	RZ 	4247	19.65	 0.66	 1.11	10.75	 1019.5	 47.1
190.25150	-11.54917	RZ 	 425	19.51	 0.99	 1.67	15.57	   32.0	 26.0
189.86854	-11.59849	RZ 	4283	23.17	 0.85	 1.41	 7.73	  373.0	 33.0
189.86779	-11.87912	RZ 	4287	20.55	 0.95	 1.55	17.15	  139.0	 33.0
189.86604	-11.61071	RZ 	4301	20.73	 0.68	 1.09	 7.77	  210.0	 23.0
189.86558	-11.68658	RZ 	4303	19.91	 0.80	 1.32	 8.64	 1070.0	 31.2
190.25100	-11.42899	RZ 	 431	19.97	 0.94	 1.56	18.91	  157.4	 11.4
189.86458	-11.63480	RZ 	4318	19.48	 0.61	 1.02	 7.85	  -38.0	 42.0
189.86421	-11.46632	RZ 	4324	21.21	 0.72	 1.19	12.25	 1784.0	 11.0
189.86154	-11.75692	RZ 	4352	21.93	 0.70	 1.21	11.33	  276.4	 21.2
190.25058	-11.61360	RZ 	 436	19.43	 0.80	 1.22	14.88	  137.0	 29.0
189.86037	-11.58971	RZ 	4367	21.69	 0.86	 1.41	 8.31	  143.0	 19.0
189.85604	-11.75599	RZ 	4404	21.03	 1.02	 1.65	11.52	   47.0	 49.0
189.85558	-11.34470	RZ 	4412	21.11	 0.57	 0.94	18.68	  220.2	 12.1
190.25000	-11.60428	RZ 	 442	19.27	 0.68	 1.10	14.88	    0.0	 20.0
189.84871	-11.76976	RZ 	4470	20.91	 0.57	 0.95	12.41	  173.2	  6.9
189.84621	-11.67871	RZ 	4487	21.83	 0.96	 1.56	 9.50	 1275.1	  6.4
190.24912	-11.89862	RZ 	 449	20.62	 0.83	 1.41	22.17	  205.0	 59.0
189.84558	-11.56990	RZ 	4495	22.10	 0.76	 1.31	 9.49	  939.0	 34.0
189.84258	-11.65419	RZ 	4523	21.04	 0.73	 1.24	 9.30	 1132.9	 18.8
189.84204	-11.76732	RZ 	4530	19.97	 0.83	 1.35	12.59	  -20.0	 30.0
189.84167	-11.62011	RZ 	4537	20.58	 0.60	 1.06	 9.17	  195.0	 51.9
189.83987	-11.62251	RZ 	4553	19.29	 0.77	 1.35	 9.27	  130.0	 27.0
189.83858	-11.52316	RZ 	4571	21.59	 0.90	 1.49	11.11	 1909.0	 11.7
189.83025	-11.79800	RZ 	4647	20.01	 0.69	 1.08	14.38	  307.0	 37.0
189.82896	-11.56734	RZ 	4662	21.46	 0.82	 1.34	10.46	  925.0	 33.0
189.82804	-11.66786	RZ 	4671	21.11	 0.77	 1.28	10.32	  405.0	 51.0
189.82762	-11.63610	RZ 	4676	20.75	 0.69	 1.12	10.02	  -28.7	 57.7
189.82758	-11.41784	RZ 	4679	20.93	 0.64	 1.12	15.86	 1063.0	126.8
189.82712	-11.51596	RZ 	4682	20.16	 0.68	 1.16	11.91	 1020.5	 58.8
189.82692	-11.48396	RZ 	4686	20.93	 0.98	 1.61	13.05	  275.8	  6.7
189.82246	-11.85678	RZ 	4728	19.23	 0.88	 1.44	17.39	   95.0	 21.0
189.82229	-11.38255	RZ 	4737	21.54	 0.67	 1.12	17.74	  229.9	  9.9
189.82125	-11.86943	RZ 	4739	21.61	 0.77	 1.29	18.05	  282.4	 20.4
189.82158	-11.40549	RZ 	4743	21.48	 0.80	 1.34	16.66	10433.2	 10.9
189.81983	-11.77979	RZ 	4755	21.97	 0.78	 1.29	14.05	 1325.9	 48.7
189.81792	-11.89683	RZ 	4766	19.84	 0.85	 1.36	19.52	  236.0	 32.0
189.81737	-11.50421	RZ 	4774	21.63	 0.97	 1.55	12.77	  267.4	  8.9
189.81642	-11.66199	RZ 	4784	19.66	 0.81	 1.32	10.90	  217.3	  7.1
189.81592	-11.33987	RZ 	4800	19.43	 0.83	 1.38	20.07	  142.0	 26.0
189.81371	-11.71886	RZ 	4814	20.89	 0.59	 1.06	12.24	 1368.1	  9.5
189.81029	-11.46845	RZ 	4844	20.62	 1.00	 1.66	14.40	  267.4	  6.2
189.80921	-11.54590	RZ 	4856	21.62	 0.65	 1.13	12.00	  271.4	  6.8
189.80596	-11.83516	RZ 	4884	20.60	 0.65	 1.12	16.99	 1238.5	 57.4
189.80362	-11.38223	RZ 	4915	21.34	 0.73	 1.22	18.41	  152.0	 13.1
189.80283	-11.40708	RZ 	4919	21.84	 0.56	 1.02	17.30	  276.0	  7.2
189.80054	-11.76917	RZ 	4941	21.49	 0.60	 1.02	14.52	  155.3	  8.2
189.79879	-11.73128	RZ 	4958	20.08	 0.91	 1.48	13.36	   91.0	 26.0
189.79900	-11.39728	RZ 	4960	19.12	 1.04	 1.74	17.89	   28.0	 32.0
189.79842	-11.56683	RZ 	4966	19.73	 0.66	 1.15	12.19	 1047.5	 27.0
189.79475	-11.88001	RZ 	4992	21.53	 0.68	 1.09	19.48	  186.8	  6.8
189.79242	-11.77278	RZ 	5006	19.37	 1.04	 1.73	15.03	  -13.0	 24.0
189.78975	-11.88444	RZ 	5023	19.64	 0.53	 0.88	19.87	   68.0	 43.0
189.79017	-11.45997	RZ 	5024	19.41	 1.00	 1.69	15.64	   99.0	 33.0
189.78929	-11.73209	RZ 	5028	21.75	 0.78	 1.30	13.88	  282.3	  7.2
189.78604	-11.53580	RZ 	5055	20.43	 0.72	 1.19	13.50	  178.5	  6.2
189.78358	-11.85017	RZ 	5076	21.06	 0.68	 1.15	18.54	  286.8	  6.9
189.78150	-11.71779	RZ 	5097	19.33	 0.64	 1.06	13.91	   94.0	 29.0
189.77654	-11.77884	RZ 	5129	21.00	 0.56	 0.95	16.00	  289.7	  6.2
189.77100	-11.41913	RZ 	5173	21.73	 0.60	 1.12	18.09	  285.3	  8.2
189.76933	-11.84814	RZ 	5184	19.89	 0.90	 1.48	19.03	  166.0	 28.0
189.76921	-11.39008	RZ 	5192	20.58	 0.55	 0.93	19.39	  456.0	 62.0
189.75904	-11.35056	RZ 	5275	20.00	 0.50	 0.90	21.55	  434.0	 94.0
189.75596	-11.78084	RZ 	5289	20.11	 0.64	 1.10	17.06	 1092.5	 58.6
189.75408	-11.48400	RZ 	5312	21.66	 0.76	 1.32	16.57	  285.9	  5.5
189.75367	-11.47858	RZ 	5315	19.26	 0.98	 1.63	16.76	   10.0	 30.0
189.75287	-11.58833	RZ 	5319	21.40	 0.88	 1.45	14.54	 1061.2	 50.3
190.23612	-11.56478	RZ 	 539	21.49	 0.57	 0.93	14.45	  292.2	 10.5
189.74183	-11.86257	RZ 	5390	19.25	 0.61	 1.04	20.79	  270.0	 23.0
189.73829	-11.69970	RZ 	5423	20.60	 0.61	 1.04	15.92	  139.0	 67.0
189.73533	-11.35098	RZ 	5452	19.97	 0.71	 1.17	22.46	  210.2	 11.2
189.73404	-11.50967	RZ 	5460	21.40	 0.67	 1.07	16.92	  197.8	  9.7
189.73071	-11.45746	RZ 	5489	20.38	 0.65	 1.04	18.58	  303.0	 56.0
190.31113	-11.62350	RZ 	  55	21.55	 0.77	 1.30	18.42	  261.0	  8.6
190.23471	-11.75655	RZ 	 550	20.19	 0.72	 1.16	16.07	  193.0	 49.0
189.72708	-11.82286	RZ 	5516	19.71	 0.89	 1.50	19.90	  148.0	 26.0
189.72654	-11.66833	RZ 	5520	20.41	 0.65	 1.10	16.16	  276.8	  6.3
189.72054	-11.61080	RZ 	5572	20.30	 0.82	 1.29	16.30	  270.4	  5.5
189.72033	-11.65552	RZ 	5574	20.98	 0.91	 1.46	16.41	  117.0	 45.0
189.71712	-11.47139	RZ 	5595	21.86	 0.87	 1.48	18.84	  276.2	  6.1
189.71450	-11.81484	RZ 	5605	19.59	 0.55	 0.95	20.22	  177.0	 33.0
189.71400	-11.88017	RZ 	5613	21.11	 0.66	 1.10	22.70	  279.2	  6.4
189.71187	-11.70256	RZ 	5635	20.87	 0.73	 1.20	17.45	   92.0	 33.0
189.70896	-11.33995	RZ 	5678	20.79	 0.74	 1.23	24.02	 1237.6	 13.5
190.23154	-11.55908	RZ 	 572	19.52	 0.68	 1.12	14.28	  -34.0	 20.0
190.23133	-11.82007	RZ 	 573	19.25	 0.87	 1.43	18.11	   -7.0	 21.0
190.23087	-11.75321	RZ 	 578	21.06	 0.68	 1.08	15.77	  203.1	 53.9
190.22400	-11.61879	RZ 	 630	19.70	 0.58	 0.97	13.31	  222.0	 29.0
190.22050	-11.62199	RZ 	 658	20.72	 0.85	 1.40	13.10	 1200.6	  9.7
190.22017	-11.85947	RZ 	 661	20.30	 0.61	 1.01	19.29	  399.0	 56.0
190.21758	-11.84797	RZ 	 682	21.01	 0.69	 1.13	18.68	  681.7	 54.1
190.21471	-11.47867	RZ 	 708	19.47	 0.88	 1.53	15.43	  128.0	 30.0
190.21404	-11.71359	RZ 	 714	19.42	 0.79	 1.27	13.83	  240.0	 39.0
190.21333	-11.78509	RZ 	 718	20.73	 0.58	 1.02	15.97	 -143.0	 66.0
190.21275	-11.58240	RZ 	 722	19.58	 0.73	 1.20	12.88	   28.0	 21.0
190.20825	-11.85752	RZ 	 760	21.12	 0.58	 0.98	18.73	  300.8	  8.0
190.19371	-11.35678	RZ 	 852	21.54	 0.66	 1.11	19.71	  267.4	  5.4
190.19100	-11.53161	RZ 	 866	19.04	 0.57	 0.97	12.62	   78.0	 18.0
190.19042	-11.90141	RZ 	 870	21.25	 0.73	 1.17	20.18	  149.5	 14.9
190.18758	-11.84000	RZ 	 888	21.75	 0.93	 1.49	17.14	  284.7	  6.0
190.18717	-11.91714	RZ 	 891	19.09	 0.76	 1.22	20.86	   38.0	 37.0
190.18708	-11.71734	RZ 	 893	19.53	 0.90	 1.47	12.49	   27.0	 31.0
190.31617	-11.56033	RZ 	   9	20.02	 0.93	 1.65	19.10	   68.0	 30.0
190.18517	-11.42875	RZ 	 906	19.49	 0.52	 0.90	16.05	  314.0	 49.0
190.18450	-11.67542	RZ 	 914	21.84	 0.55	 1.00	11.42	  278.5	  5.9
190.18375	-11.57942	RZ 	 919	20.06	 1.04	 1.72	11.25	  278.0	 43.0
190.18337	-11.77800	RZ 	 922	20.76	 0.81	 1.34	14.33	  233.0	 60.0
190.18167	-11.33041	RZ 	 939	19.47	 0.98	 1.64	20.63	    7.0	 29.0
190.17179	-11.57583	RZ 	 997	19.18	 0.77	 1.30	10.62	  803.8	  8.4
190.04183	-11.63909	S  	   1	18.79	 0.75	 1.23	 2.77	 1328.0	  8.0
190.00037	-11.60254	S  	   3	18.94	 0.75	 1.23	 1.24	  392.0	  8.0
190.06079	-11.64111	S  	   4	18.98	 0.82	 1.33	 3.87	  999.0	  8.0
190.00021	-11.59803	S  	  17	19.65	 0.71	 1.20	 1.51	  622.0	 10.0
190.00121	-11.63189	S  	  27	19.90	 0.74	 1.22	 0.57	 1002.0	  5.7
190.05075	-11.62626	S  	  32	19.94	 0.81	 1.32	 3.13	  906.0	 15.0
189.97733	-11.61098	S  	  34	20.02	 0.72	 1.19	 1.40	 1161.0	  8.0
190.00437	-11.63251	S  	  35	20.04	 0.96	 1.52	 0.69	 1173.0	  8.0
189.99304	-11.64487	S  	  36	20.06	 0.67	 1.12	 1.34	 1066.0	 24.0
190.02579	-11.60286	S  	  37	20.09	 0.66	 1.14	 2.05	  686.0	  8.0
189.97812	-11.60718	S  	  38	20.11	 0.75	 1.24	 1.49	 1097.0	  8.0
189.99712	-11.64108	S  	  42	20.20	 0.94	 1.47	 1.08	  947.8	  7.2
189.96817	-11.64635	S  	  43	20.20	 0.71	 1.20	 2.22	 1585.0	  8.0
190.01337	-11.60121	S  	  49	20.27	 0.82	 1.35	 1.60	  826.1	  6.5
189.98517	-11.63379	S  	  50	20.29	 0.77	 1.25	 0.98	 1309.0	  8.0
189.98717	-11.63884	S  	  57	20.38	 1.00	 1.57	 1.13	 1017.0	  8.0
189.97767	-11.60071	S  	  62	20.43	 0.99	 1.57	 1.78	 1037.0	  8.0
189.97529	-11.60135	S  	  65	20.44	 0.88	 1.43	 1.85	  994.0	  7.6
189.99754	-11.60887	S  	  66	20.45	 0.92	 1.46	 0.85	 1107.0	  8.0
189.94679	-11.62998	S  	  70	20.49	 0.64	 1.08	 3.02	  990.0	 11.0
189.97467	-11.59867	S  	  72	20.54	 0.70	 1.18	 1.99	 1314.0	  8.0
189.97054	-11.59854	S  	  75	20.57	 0.94	 1.51	 2.17	 1264.0	  8.0
190.02067	-11.60594	S  	  76	20.58	 0.68	 1.15	 1.70	 1456.2	 10.3
189.97350	-11.61695	S  	  79	20.63	 0.79	 1.29	 1.46	 1257.0	 12.0
189.98642	-11.61127	S  	  85	20.72	 0.86	 1.38	 0.97	  841.0	  8.0
189.95392	-11.62774	S  	  95	20.77	 0.72	 1.21	 2.58	  932.0	  9.0
190.01258	-11.64607	S  	  97	20.78	 0.78	 1.27	 1.64	  845.7	  8.9
190.01742	-11.59478	S  	 102	20.82	 0.70	 1.17	 2.06	  885.0	 24.0
189.97517	-11.60985	S  	 106	20.84	 0.77	 1.27	 1.54	  787.0	  8.0
189.96967	-11.63982	S  	 111	20.87	 0.98	 1.55	 1.93	  861.0	 10.0
190.00500	-11.64614	S  	 123	20.98	 0.88	 1.43	 1.45	  897.0	 10.0
190.00917	-11.64722	S  	 126	21.02	 1.01	 1.56	 1.60	  789.0	 15.0
189.99625	-11.60563	S  	 132	21.04	 0.77	 1.25	 1.05	  908.0	 23.0
190.00658	-11.60469	S  	 144	21.12	 0.90	 1.44	 1.22	  957.5	 12.7
189.96517	-11.57279	S  	 145	21.14	 0.75	 1.24	 3.57	  936.0	 12.0
189.99967	-11.61494	S  	 149	21.17	 0.83	 1.36	 0.50	 1081.0	 11.0
190.00258	-11.61821	S  	 150	21.18	 0.74	 1.20	 0.41	 1182.0	  8.0
190.04808	-11.61804	S  	 159	21.25	 0.67	 1.14	 2.98	 1448.0	 11.0
190.00762	-11.63988	S  	 160	21.26	 0.70	 1.16	 1.17	 1128.0	 14.0
189.98300	-11.61234	S  	 161	21.26	 0.95	 1.48	 1.07	 1101.0	 23.0
189.99554	-11.61521	S  	 181	21.36	 0.98	 1.55	 0.49	 1018.0	  8.0
190.01954	-11.64132	S  	 184	21.37	 0.88	 1.43	 1.69	  750.0	 10.0
189.99175	-11.63322	S  	 193	21.41	 0.73	 1.21	 0.70	 1101.2	  8.0
189.98254	-11.63886	S  	 199	21.43	 0.71	 1.22	 1.30	 1060.0	 14.0
189.99496	-11.60767	S  	 208	21.48	 0.86	 1.40	 0.94	  947.0	 17.0
189.98683	-11.61264	S  	 218	21.54	 0.70	 1.18	 0.89	  543.0	 37.0
189.94558	-11.62046	S  	 219	21.55	 0.67	 1.13	 3.06	 1582.0	 16.0
190.01954	-11.61211	S  	 222	21.57	 0.84	 1.40	 1.45	  731.0	 15.0
190.01021	-11.59877	S  	 228	21.60	 0.94	 1.49	 1.63	 1098.0	 25.0
189.98658	-11.59830	S  	 231	21.62	 0.92	 1.48	 1.62	 1264.0	  9.0
189.94508	-11.60781	S  	 241	21.67	 0.94	 1.52	 3.22	  737.0	  9.0
190.00021	-11.64104	S  	 255	21.73	 0.90	 1.44	 1.09	 1166.0	 17.0
190.00783	-11.63456	S  	 263	21.74	 0.98	 1.57	 0.91	  700.0	 11.0
189.98296	-11.60751	S  	 271	21.80	 0.77	 1.27	 1.27	  821.0	 22.0
189.97762	-11.63297	S  	 272	21.80	 0.68	 1.15	 1.32	 1477.0	 14.0
189.99342	-11.64994	S  	 277	21.84	 0.74	 1.25	 1.63	 1145.0	  9.0
190.00887	-11.61692	S  	 279	21.85	 0.95	 1.52	 0.76	 1438.0	  8.0
190.00663	-11.63320	S  	 310	21.96	 0.93	 1.49	 0.81	 1214.0	 10.0
190.03004	-11.61768	S  	 317	21.98	 0.78	 1.28	 1.93	 1011.0	 21.0
189.97492	-11.64782	S  	 333	22.04	 0.91	 1.45	 2.00	 1082.0	 10.0
190.04796	-11.65503	S  	 357	22.11	 0.91	 1.44	 3.53	 1120.0	 12.0
190.01404	-11.60866	S  	 362	22.14	 0.87	 1.40	 1.30	 1450.0	 34.0
190.02246	-11.63306	S  	 367	22.16	 0.65	 1.16	 1.58	 1315.0	 28.0
189.99896	-11.63174	S  	 369	22.17	 0.94	 1.50	 0.53	 1635.0	 14.0
189.96363	-11.58208	S  	 370	22.17	 0.67	 1.13	 3.17	 1169.0	  8.0
189.99517	-11.63650	S  	 383	22.21	 0.94	 1.49	 0.82	  990.0	 22.0
190.03221	-11.63731	S  	 387	22.25	 0.67	 1.11	 2.21	 1224.0	 15.0
189.95283	-11.59432	S  	 392	22.26	 0.71	 1.23	 3.15	 1415.2	  7.4
189.94983	-11.61622	S  	 433	22.42	 0.64	 1.10	 2.84	  735.0	 17.0
189.98271	-11.66618	S  	 448	22.48	 1.02	 1.61	 2.73	  896.0	 24.0
190.01471	-11.63071	S  	 526	22.84	 0.76	 1.34	 1.10	 2285.0	 36.0
189.99292	-11.61885	S  	 565	23.14	 0.93	 1.45	 0.37	 1086.0	 17.0
189.92237	-11.58151	S  	 591	23.30	 0.93	 1.50	 5.08	 1323.0	  8.0
189.97571	-11.63711	S  	 612	23.53	 0.61	 1.03	 1.54	 1691.0	 19.0
190.05071	-11.68022	1- 	  10	  0   	   0  	   0  	 4.64	  -51.0	 21.0
190.05262	-11.58278	1- 	  13	  0   	    0 	    0 	 4.04	  219.0	 78.0
189.98475	-11.64081	1- 	  19	20.71	 0.79	 1.33	 1.31	  573.0	 21.0
190.03025	-11.65672	1- 	  22	   0  	   0  	   0  	 2.79	  131.0	 43.0
189.91442	-11.68106	1- 	  27	   0  	   0  	   0  	 6.00	 -233.0	 26.0
190.05617	-11.65358	1- 	  29	20.97	 1.08	 1.75	 3.90	  853.0	 31.0
190.00596	-11.60942	1- 	  33	  0   	   0  	   0  	 0.95	  448.0	141.0
189.95950	-11.55161	1- 	  37	  0   	   0  	   0  	 4.84	 2456.0	 24.0
190.01158	-11.57722	1- 	   6	  0   	   0  	   0  	 2.87	  109.0	 20.0
190.02042	-11.56797	1- 	   9	   0  	   0  	   0  	 3.57	  194.0	 29.0
190.03500	-11.56614	2- 	  11	20.89	 0.51	 0.99	 4.06	 1411.0	 56.0
189.96992	-11.60517	2- 	  16	20.77	 0.41	 0.72	 1.95	  875.0	 22.0
190.06392	-11.69825	2- 	   9	  0   	   0  	   0  	 5.96	  -83.0	 25.0
190.00437	-11.61503	C- 	  32	20.38	 0.75	 1.27	 0.62	 1055.0	 24.0
190.01037	-11.61869	C- 	  42	21.19	 0.71	 1.23	 0.79	 1225.0	 26.0
190.01104	-11.61136	C- 	  59	21.14	 0.93	 1.50	 1.06	 1034.0	 19.0
190.01075	-11.60769	C- 	  64	21.10	 0.67	 1.19	 1.20	  865.0	 16.0
190.01412	-11.59889	C- 	  76	21.36	 0.61	 1.10	 1.74	 1563.0	 77.0
189.99671	-11.63875	C- 	 132	20.91	 0.87	 1.41	 0.94	  679.0	 15.0
189.99721	-11.64550	C- 	 137	21.10	 0.93	 1.52	 1.35	  919.0	 30.0
