_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
190.08292	-11.62941	RZ 	1836	19.65	 0.82	 1.35	 5.03	 1494.0	  8.0
190.08175	-11.64946	RZ 	1841	23.32	 0.68	 1.15	 5.19	 1022.0	 32.0
190.07942	-11.39884	RZ 	1865	20.25	 0.74	 1.24	14.29	  984.7	  9.4
190.07717	-11.46253	RZ 	1895	20.87	 0.95	 1.51	10.71	 1131.8	 44.4
190.07667	-11.57214	RZ 	1898	20.89	 0.77	 1.29	 5.56	 1152.2	 27.1
190.31496	-11.69957	RZ 	  19	19.08	 0.71	 1.23	19.20	  109.0	 19.0
190.07550	-11.90752	RZ 	1908	19.45	 0.63	 1.06	17.67	  113.0	 24.0
190.07467	-11.64223	RZ 	1923	22.36	 0.91	 1.49	 4.67	 1173.0	  8.0
190.07387	-11.67906	RZ 	1934	20.23	 0.75	 1.24	 5.60	 1293.0	  9.0
190.07362	-11.45460	RZ 	1937	19.76	 0.78	 1.26	11.05	  116.2	 27.5
190.07237	-11.62200	RZ 	1946	21.49	 0.60	 1.02	 4.39	  797.0	 13.0
190.07225	-11.35645	RZ 	1950	20.17	 0.73	 1.16	16.59	  157.0	 92.0
190.07025	-11.65534	RZ 	1973	19.36	 0.76	 1.20	 4.69	   40.0	 22.0
190.07037	-11.39164	RZ 	1974	21.67	 0.69	 1.17	14.53	 1104.5	 10.9
190.06929	-11.66249	RZ 	1983	21.32	 0.93	 1.56	 4.83	  976.9	 15.8
190.06912	-11.63345	RZ 	1986	20.28	 0.61	 0.98	 4.25	  306.0	 45.0
190.06875	-11.63842	RZ 	1990	21.44	 0.80	 1.32	 4.28	 1006.0	  9.0
190.06767	-11.65324	RZ 	1997	21.49	 0.76	 1.26	 4.50	 1498.0	 26.0
190.06746	-11.70846	RZ 	1998	20.55	 0.99	 1.61	 6.56	  218.0	 13.0
190.06600	-11.65193	RZ 	2010	22.05	 0.68	 1.12	 4.38	  803.0	 11.0
190.06575	-11.62758	RZ 	2014	21.72	 0.81	 1.29	 4.01	  888.0	 16.0
190.06567	-11.64132	RZ 	2016	20.99	 0.67	 1.13	 4.15	 1417.2	 86.8
190.06492	-11.60583	RZ 	2021	20.19	 0.67	 1.13	 4.09	 1125.3	  7.7
190.06471	-11.68375	RZ 	2024	20.05	 0.78	 1.26	 5.37	   93.0	  9.0
190.06421	-11.62626	RZ 	2032	20.62	 0.87	 1.49	 3.92	 1256.0	 18.0
190.06387	-11.64449	RZ 	2037	21.64	 0.63	 1.10	 4.10	 1470.0	  8.0
190.06379	-11.67020	RZ 	2038	19.33	 0.75	 1.24	 4.81	 1240.1	  7.7
190.06267	-11.67897	RZ 	2055	21.37	 0.73	 1.20	 5.09	 1131.0	 13.0
190.06250	-11.65195	RZ 	2059	21.60	 0.88	 1.45	 4.19	 1217.0	  8.0
190.06104	-11.69873	RZ 	2082	21.69	 0.68	 1.08	 5.87	  917.0	 20.0
190.06096	-11.60982	RZ 	2084	21.47	 0.67	 1.14	 3.81	 1226.0	 11.0
190.06100	-11.53207	RZ 	2086	19.48	 0.72	 1.22	 6.61	 1063.2	 23.8
190.05967	-11.39466	RZ 	2098	19.71	 0.78	 1.27	14.18	    4.0	 28.0
190.05912	-11.64045	RZ 	2106	21.48	 0.79	 1.36	 3.76	 1075.0	 15.0
190.05879	-11.64400	RZ 	2109	20.50	 0.82	 1.36	 3.81	 1402.1	  7.6
190.05746	-11.61733	RZ 	2129	19.91	 0.75	 1.25	 3.53	 1167.9	 62.1
190.05721	-11.66472	RZ 	2134	21.99	 0.65	 1.09	 4.30	  817.0	 21.0
190.05654	-11.65957	RZ 	2144	19.79	 0.71	 1.17	 4.10	  907.5	  6.8
190.05617	-11.59757	RZ 	2148	20.79	 0.71	 1.18	 3.77	 1136.0	 35.4
190.05275	-11.69151	RZ 	2194	21.51	 0.71	 1.15	 5.23	 1096.0	 16.0
190.05187	-11.63669	RZ 	2200	20.44	 0.67	 1.14	 3.29	 1524.0	 14.0
190.05192	-11.42591	RZ 	2203	19.55	 0.64	 1.12	12.25	 1174.0	 32.8
190.04975	-11.74786	RZ 	2221	19.82	 0.89	 1.44	 8.09	   94.0	 28.0
190.04979	-11.53221	RZ 	2224	21.80	 0.55	 0.96	 6.25	  277.4	  8.1
190.04971	-11.36692	RZ 	2226	21.11	 0.94	 1.52	15.67	 1348.3	  7.1
190.04892	-11.69902	RZ 	2237	20.54	 0.70	 1.18	 5.46	  954.6	 11.4
190.04850	-11.63734	RZ 	2242	20.35	 0.60	 1.04	 3.11	 1433.8	  8.0
190.04783	-11.87983	RZ 	2247	19.17	 0.51	 0.86	15.69	  155.0	 30.0
190.04742	-11.66193	RZ 	2257	20.82	 0.70	 1.17	 3.74	 1275.0	100.0
190.04646	-11.62926	RZ 	2276	21.83	 0.96	 1.62	 2.89	 1199.0	 10.0
190.04654	-11.33429	RZ 	2279	21.38	 0.66	 1.18	17.56	 1136.9	  8.9
190.28775	-11.67949	RZ 	 228	19.54	 0.71	 1.14	17.38	  296.0	 22.0
190.04575	-11.59851	RZ 	2289	20.51	 0.58	 1.00	 3.19	  733.0	 12.7
190.04500	-11.63827	RZ 	2300	21.55	 0.57	 1.04	 2.93	 1201.0	 33.0
190.04487	-11.66684	RZ 	2303	20.02	 0.70	 1.15	 3.82	 1236.6	  9.6
190.04462	-11.65239	RZ 	2305	21.81	 0.81	 1.37	 3.28	 1229.0	 10.0
190.04446	-11.61259	RZ 	2307	20.25	 0.93	 1.47	 2.82	  767.5	  7.8
190.04383	-11.75567	RZ 	2316	20.31	 0.86	 1.41	 8.41	 1097.7	 10.5
190.04350	-11.61071	RZ 	2323	18.98	 0.77	 1.26	 2.80	 1433.0	 18.0
190.28650	-11.46545	RZ 	 233	19.56	 0.59	 1.00	19.44	  293.0	 35.0
190.04250	-11.36187	RZ 	2338	20.69	 0.66	 1.07	15.89	  140.0	 24.6
190.04196	-11.70322	RZ 	2342	21.55	 0.63	 1.05	 5.47	 1150.0	 20.0
190.04187	-11.73883	RZ 	2344	21.28	 0.81	 1.34	 7.42	  832.0	 21.0
190.04171	-11.33978	RZ 	2349	19.41	 1.08	 1.79	17.19	   67.0	 31.0
190.04096	-11.58906	RZ 	2358	20.51	 0.81	 1.36	 3.26	 1152.0	 40.0
190.04054	-11.60627	RZ 	2363	19.45	 0.69	 1.17	 2.72	 1459.9	  7.7
190.04054	-11.61239	RZ 	2364	20.71	 0.78	 1.28	 2.60	 1258.4	 32.7
190.04025	-11.89514	RZ 	2365	21.55	 0.63	 1.04	16.52	  283.6	  9.7
190.03946	-11.64445	RZ 	2376	21.03	 0.77	 1.25	 2.77	 1173.1	 10.9
190.03896	-11.58781	RZ 	2381	19.85	 0.78	 1.28	 3.22	 1193.8	  7.8
190.03833	-11.59833	RZ 	2390	22.68	 0.79	 1.34	 2.82	 1373.0	 38.0
190.03758	-11.56409	RZ 	2400	19.98	 0.97	 1.61	 4.25	    5.5	 23.2
190.03683	-11.56860	RZ 	2410	20.79	 0.68	 1.14	 4.00	 1323.0	 11.0
190.03604	-11.65855	RZ 	2421	19.85	 0.92	 1.49	 3.10	 1270.0	 36.0
190.03554	-11.72343	RZ 	2428	20.38	 0.67	 1.11	 6.42	  958.0	 12.0
190.03462	-11.63810	RZ 	2439	21.23	 0.60	 1.05	 2.35	 1037.0	 12.0
190.03371	-11.55308	RZ 	2449	19.69	 0.76	 1.28	 4.70	  939.6	 29.3
190.03287	-11.84607	RZ 	2458	19.53	 0.97	 1.58	13.54	  -20.0	122.0
190.03196	-11.74675	RZ 	2474	22.73	 1.00	 1.56	 7.69	 1102.0	 28.0
190.03200	-11.76800	RZ 	2475	20.02	 0.73	 1.19	 8.93	 1064.8	  6.6
190.03171	-11.66414	RZ 	2483	19.78	 0.53	 0.87	 3.18	  205.0	 45.0
