"V","galcen_ratio"
21.57,2.15727
22.301,1.49558
22.725,1.89959
22.948,1.87201
22.542,1.92894
22.502,1.73152
21.189,1.55571
22.535,1.58189
22.672,1.42987
23.091,1.56405
22.29,1.39417
23.138,1.33165
22.325,1.83882
22.517,1.27928
22.437,1.28954
23.034,1.23291
22.902,1.60548
22.719,1.42805
21.559,1.80399
19.154,1.17835
21.772,1.13351
22.346,1.75641
20.437,1.19836
22.372,1.47805
22.539,1.44023
21.52,1.69926
20.364,1.34312
22.4,1.79439
22.284,1.0808
20.113,1.7814
21.092,1.25217
22.587,1.73228
23.018,1.25899
23.237,1.05493
23.099,1.29487
20.027,1.07859
20.552,1.19924
21.91,1.28182
22.714,1.56451
20.2,1.18084
23.02,1.16555
22.838,1.46738
23.023,1.52947
22.783,1.08224
21.949,1.6912
22.431,1.78648
22.632,1.68638
20.003,0.996135
20.185,1.66377
21.258,1.64095
22.818,1.33284
23.331,1.59459
22.863,1.06074
22.904,1.18194
21.149,1.05797
22.655,1.67239
22.27,1.61897
21.384,1.33563
20.965,1.63729
21.854,1.61097
21.718,1.52906
22.103,1.55974
21.059,1.13845
23.149,1.34786
23.294,1.07562
22.31,1.09646
20.753,0.996147
22.978,1.55873
22.777,1.21779
22.753,1.32037
22.384,1.20151
22.908,1.15732
22.06,1.42688
21.621,0.993387
22.002,1.34145
22.492,1.21871
20.681,1.1008
22.787,1.09988
20.511,1.49555
21.002,1.24635
20.743,1.45136
22.627,1.03977
22.687,1.23818
22.433,1.42438
22.647,1.56056
22.608,1.0143
21.434,1.54019
20.447,1.24982
20.116,1.23875
22.657,1.41582
22.812,1.39989
22.394,1.2601
22.341,1.20971
20.43,1.16242
21.101,1.05498
21.27,1.11825
21.721,1.04186
20.149,1.1565
19.919,1.19187
21.8,1.69639
20.749,1.0535
21.483,1.59439
23.177,1.11097
22.726,1.2745
22.205,1.53554
22.436,1.37112
22.687,1.14958
20.182,1.24562
19.207,1.00732
22.555,1.17167
22.123,0.998028
22.281,1.19106
20.837,1.44311
23.32,1.6181
21.521,1.6268
19.665,1.34945
22.403,1.67218
21.718,1.14605
19.696,1.61839
23.082,1.40969
22.131,1.67906
21.628,1.58694
21.546,1.35333
22.412,1.39826
22.545,1.32506
21.907,1.0226
21.376,1.01392
20.97,1.68784
23.011,1.8072
22.323,1.06322
21.892,1.72224
21.122,1.07782
20.375,1.69913
19.655,1.0742
22.874,1.19205
20.277,1.4599
21.957,1.10293
22.188,1.43579
22.574,1.12711
20.186,1.14811
21.427,1.14875
21.422,1.15005
20.634,1.39033
22.41,1.89534
22.535,1.14524
21.879,1.27403
21.694,1.15749
21.955,1.28281
22.623,1.72469
22.182,1.80532
20.466,1.46051
22.18,1.79707
22.248,1.31344
21.326,1.78236
22.341,1.79863
21.788,1.91831
20.803,1.72462
22.016,1.29107
19.285,1.71718
20.918,1.55078
21.34,1.35467
23.226,1.40382
22.909,1.82759
20.533,1.35254
21.793,1.37898
21.368,1.49347
22.612,2.03005
22.994,1.85873
22.067,1.85965
22.435,1.85614
21.356,1.97883
22.027,1.93566
20.724,2.11754
22.433,1.53243
21.693,1.51925
