Galaxy,type,M_V,M_V_err,M_K,M_K_err,mass,,massdiff,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,,Galaxy,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source,SN_calc,T_calc,SN_diff,T_diff
NGC 4479,SB0,-19.0,0.2,-21.4,0.1,9.96,10.42,0.46,0.08,31.2,0.1,4.00,1.94,0.07,83,4,9999.00,9999.00,9999.00,9999.00,NGC4479,59,9,2.02,0.32,6.5,1.6,0.77,5,NA,NA,Pe08,1.4,2.22,0.578375973910559,4.28160734132735
NGC 4528,S0,-19.1,0.2,-21.9,0.1,10.01,10.46,0.45,0.09,30.9,0.1,9999.00,0.79,0.03,117,7,9999.00,9999.00,9999.00,9999.00,NGC4528,31,7,0.8,0.18,3.1,1,0.88,2.7,NA,NA,Pe08,0.7,1.08,0.1,2.0172003628784
NGC 4474,S0pec,-19.4,0.2,-22.0,0.1,10.18,10.59,0.41,0.08,30.7,0.1,3.80,2.09,0.08,88,4,9999.00,9999.00,9999.00,9999.00,NGC4474,116,24,2.05,0.42,7.6,2.2,0.65,4.9,NA,NA,Pe08,1.9,2.99,0.107066263809335,4.6101844457014
NGC 4388,Sb,-21.7,0.3,-24.0,0.4,11.00,11.41,0.41,0.12,32.0,0.4,1.56,4.88,0.50,99,9,6.87,0.01,0.01,9999.00,NGC4388,70,10,0.3,0.1,0.6,0.3,NA,NA,19,5,In Prep,0.1,0.28,0.2,0.324724091260058
NGC 4483,SB0,-19.0,0.2,-21.8,0.2,10.02,10.40,0.38,0.09,31.1,0.2,3.83,1.42,0.13,100,10,9999.00,9999.00,9999.00,9999.00,NGC4483,72,18,2.1,0.53,6.9,2.3,0.94,6.5,NA,NA,Pe08,1.9,2.86,0.2,4.03899310698756
NGC 7339,Sab,-20.9,0.3,-23.3,0.2,10.70,11.08,0.38,0.10,31.8,0.2,0.11,2.51,0.23,9999,,9999.00,9999.00,9999.00,9999.00,NGC7339,75,10,0.5,0.2,1.5,0.5,0.6,0.9,9.5,2.9,Y12,0.3,0.63,0.2,0.872329918063022
NGC 4550,SB0,-19.5,0.2,-22.0,0.1,10.24,10.60,0.36,0.07,30.6,0.1,2.97,1.42,0.05,96,4,9999.00,9999.00,9999.00,9999.00,NGC4550,84,19,1.52,0.34,4.9,1.4,0.73,3.6,NA,NA,Pe08,1.4,2.09,0.163938812265752,2.81327271941989
NGC 4570,S0,-20.2,0.2,-23.5,0.1,10.53,10.89,0.36,0.08,31.2,0.1,2.66,1.92,0.06,188,9,9999.00,9999.00,9999.00,9999.00,NGC4570,139,23,1.09,0.18,4.1,1,0.64,2.6,NA,NA,Pe08,1.2,1.80,-0.0768493812619608,2.30443468316082
NGC 4417,SB0,-20.0,0.2,-22.7,0.1,10.46,10.81,0.35,0.07,30.9,0.1,3.44,1.22,0.04,135,3,9999.00,9999.00,9999.00,9999.00,NGC4417,72,10,0.87,0.12,2.5,0.5,0.64,1.6,NA,NA,Pe08,0.7,1.12,0.143337922024786,1.38180150306678
NGC 4371,SB0,-20.4,0.2,-23.4,0.1,10.65,10.99,0.34,0.09,31.1,0.1,4.09,2.77,0.08,137,3,6.85,0.07,0.07,9999.00,NGC4371,200,41,1.34,0.27,4.4,1.3,0.65,2.9,NA,NA,Pe08,1.3,2.05,0.0063864615727578,2.34781549862301
NGC 4660,E?,-19.4,0.2,-22.9,0.1,10.38,10.68,0.30,0.07,31.1,0.1,3.37,1.07,0.03,189,3,9999.00,9999.00,9999.00,9999.00,NGC4660,205,28,2.97,0.41,8.6,1.9,0.87,7.5,NA,NA,Pe08,3.6,4.24,-0.658723364550715,4.35621023497837
NGC 4267,SB0,-20.0,0.2,-23.2,0.1,10.51,10.81,0.30,0.09,31.1,0.1,3.58,3.18,0.11,165,5,9999.00,9999.00,9999.00,9999.00,NGC4267,179,17,1.51,0.14,5.5,1.4,0.47,2.6,NA,NA,Pe08,1.8,2.78,-0.296562666077267,2.72003429234659
NGC 4753,S0,-22.0,0.4,-25.1,0.1,11.90,11.60,0.30,0.20,31.9,0.1,0.49,5.60,0.23,163,9,9999.00,9999.00,9999.00,9999.00,NGC4753,1070,120,1.3,0.2,1.5,0.2,NA,NA,50,5,Caso15,1.7,2.66,-0.4,-1.1580930835961
