Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,oldmass,mass,massdiff,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,,Galaxy,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source,SN_calc,T_calc,T_calc_err,SN_diff,T_diff,NGC_diff,newT,newT_err
NGC 1023,SB0,S0,-21.1,0.2,-24.1,0.2,11.30,11.27,0.03,0.10,30.3,0.2,0.57,2.19,0.15,209,10,7.62,0.05,0.04,9999.00,NGC1023,490,30,1.7,0.3,2.7,0.4,0.57,1.5,20.8,3,Y12,1.7,2.64,,-0.0,0.0613457464775613,571.5,3.07762997636808,0.44
NGC 7332,S0pec,S0,-20.8,0.3,-23.8,0.2,11.10,11.11,0.01,0.10,31.8,0.2,0.12,1.64,0.16,125,3,7.11,0.17,0.17,9999.00,NGC7332,175,15,0.9,0.3,1.4,0.4,0.57,0.8,13.1,3.1,Y12,0.9,1.35,,0.0,0.0503397527637475,239.4,1.84657798582085,0.50
NGC 1055,Sbc,Spiral,-21.7,0.2,-23.9,0.5,11.10,11.30,0.20,0.10,31.1,0.5,0.25,5.34,1.20,74,14,9999.00,9999.00,9999.00,9999.00,NGC1055,220,30,0.9,0.2,1.7,0.5,0.59,1,26,6.9,Y12,0.5,1.10,,0.4,0.604902779955746,516.9,2.57289866024372,1.48
NGC 7339,Sab,Spiral,-20.9,0.3,-23.3,0.2,10.70,11.08,0.38,0.10,31.8,0.2,0.11,2.51,0.23,9999,,9999.00,9999.00,9999.00,9999.00,NGC7339,75,10,0.5,0.2,1.5,0.5,0.6,0.9,9.5,2.9,Y12,0.3,0.63,,0.2,0.872329918063022,160.4,1.34204848149822,0.71
NGC 0821,E6,E,-21.1,0.2,-23.9,0.1,11.33,11.38,0.05,0.08,31.8,0.1,0.08,5.64,0.30,209,10,7.57,0.09,0.23,9999.00,NGC821,320,45,1.3,0.2,1.49,0.21,0.7,1.04,26,5,Sp08,1.1,1.33,,0.2,0.16,420.8,1.7542490865298,0.42
NGC 4278,E1-E2,E,-21.0,0.2,-23.9,0.2,11.30,11.32,0.02,0.10,31.0,0.2,1.28,2.68,0.26,237,5,9999.00,9999.00,9999.00,9999.00,NGC4278,1378,194,6,1.2,7,1,0.7,4.6,40,10,Sluggs,5.7,6.66,,0.3,0.34,1743.1,8.42,1.76
NGC 0720,E5,E,-21.7,0.4,-24.9,0.2,11.60,11.63,0.03,0.20,32.2,0.2,0.25,4.84,0.39,241,7,9999.00,9999.00,9999.00,9999.00,NGC720,1489,96,3.2,0.2,3.7,0.2,0.6,NA,68,6,Sluggs,3.0,3.51,,0.2,0.193331616278843,1688.4,3.97629792946756,0.47
NGC 2768,SAb,Spiral,-22.0,0.3,-24.8,0.2,11.60,11.51,0.09,0.10,31.8,0.2,0.31,6.80,0.80,181,4,9999.00,9999.00,9999.00,9999.00,NGC2768,744,68,1.3,0.1,2,0.2,0.7,NA,63,3,Sluggs,1.2,2.32,,0.1,-0.32,859.3,2.68409696299643,0.36
NGC 7814,Sab,Spiral,-20.4,0.3,-23.5,0.2,10.90,10.88,0.02,0.10,30.6,0.1,0.12,2.84,0.19,169,7,9999.00,9999.00,9999.00,9999.00,NGC7814,165,25,1.3,0.4,2.2,0.8,0.58,1.3,13,4,RZ03,1.1,2.19,,0.2,0.0114619120584685,245.7,3.25926059792424,1.07
NGC 4472,E2,E,-22.7,0.2,-25.8,0.1,12.20,12.00,0.20,0.10,31.2,0.1,3.31,12.65,0.16,294,3,9.26,0.12,0.12,9999.00,NGC4472,5870,680,3.6,0.6,4.2,0.6,0.6,2.6,102,7,RZ01,5.0,5.82,,-1.4,-1.61618351652055,4957.3,4.91189744228346,-0.90
NGC 1316,SAB0pec,S0,-23.1,0.2,-25.7,0.1,11.90,12.06,0.16,0.10,31.3,0.1,1.15,10.19,0.14,228,3,8.18,0.34,0.17,9999.00,NGC1316,1450,200,1.2,0.2,1.8,0.2,NA,NA,70,10,Richtler12,0.8,1.25,,0.4,0.551023088950597,2501.1,2.15434098345765,0.91
NGC 4013,Sb,Spiral,-20.5,0.3,-23.3,0.2,10.90,10.81,0.09,0.10,30.9,0.2,1.34,3.42,0.30,87,9,9999.00,9999.00,9999.00,9999.00,NGC4013,140,20,1,0.2,1.9,0.5,0.74,1.4,14,5,R10,0.9,2.14,,0.1,-0.24367049935152,183.3,2.81,0.66
NGC 0891,Sb,Spiral,-20.8,0.2,-23.7,0.2,11.00,11.03,0.03,0.08,29.6,0.1,0.55,5.43,0.36,73,10,9999.00,9999.00,9999.00,9999.00,NGC891,70,20,0.3,0.1,0.6,0.3,0.5,0.3,9,3,R10,0.3,0.65,,-0.0,-0.0482883317518235,82.8,0.766884846570408,0.12
NGC 3556,Sc,Spiral,-21.2,0.2,-23.4,0.2,11.10,11.11,0.01,0.10,30.5,0.2,0.15,5.24,0.40,79,10,9999.00,9999.00,9999.00,9999.00,NGC3556,290,80,0.9,0.4,2.2,0.9,0.64,1.4,20,4,R07,1.0,2.23,,-0.1,-0.0255020238552151,396.2,3.04069841665167,0.82
NGC 7331,Sb,Spiral,-21.8,0.2,-24.9,0.1,11.40,11.45,0.05,0.10,30.9,0.1,0.33,6.22,0.29,137,4,9999.00,9999.00,9999.00,9999.00,NGC7331,210,130,0.5,0.4,0.9,0.7,0.5,0.4,18,4,R07,0.4,0.74,,0.1,0.160582951528835,490.1,1.72549090478341,0.99
NGC 2683,SAb,Spiral,-20.5,0.5,-23.1,0.4,10.90,10.91,0.01,0.20,29.4,0.4,0.09,2.09,0.38,118,9,9999.00,9999.00,9999.00,9999.00,NGC2683,120,40,0.8,0.4,1.4,0.7,0.68,0.9,9,3,R07,0.8,1.49,,0.0,-0.0922837541557737,185.0,2.30065453971122,0.81
NGC 4157,Sb,Spiral,-20.5,0.2,-23.6,0.4,10.90,10.85,0.05,0.10,30.9,0.4,1.19,2.64,0.53,90,4,9999.00,9999.00,9999.00,9999.00,NGC4157,80,20,0.6,0.3,1.1,0.6,0.55,0.6,21,4,R07,0.5,1.14,,0.1,-0.0379416218453272,148.0,2.10509890383577,0.97
NGC 4406,E3,E,-22.3,0.2,-25.1,0.1,11.90,11.86,0.04,0.10,31.2,0.1,1.41,12.69,0.39,235,3,9999.00,9999.00,9999.00,9999.00,NGC4406,2900,400,3.5,0.5,4.1,0.6,0.62,2.5,83,6,R04,3.4,3.97,,0.1,0.133586405772028,3420.3,4.67799756407949,0.71
NGC 4594,S0,S0,-22.4,0.2,-25.0,0.2,11.80,11.77,0.03,0.10,29.9,0.2,0.32,3.41,0.29,240,12,8.81,0.32,0.29,9999.00,NGC4594,1890,200,2.1,0.3,3.2,0.5,0.63,2,54,5,R04,2.1,3.19,,0.0,0.0110463141843637,2188.8,3.6931559716417,0.50
NGC 3379,E1,E,-20.9,0.2,-23.8,0.1,11.30,11.28,0.02,0.10,30.0,0.1,0.52,1.79,0.14,206,10,8.60,0.13,0.10,9999.00,NGC3379,270,30,1.2,0.3,1.4,0.3,0.7,1,34,4,R04,1.2,1.40,,-0.0,-0.00398919064049097,337.4,1.7542490865298,0.35
