Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0106	2.51e+09	4.800	6.139	5.932	5.204	4.698	4.215	3.498	2.886	2.777
	0.0106	2.82e+09	4.855	6.303	6.056	5.288	4.762	4.262	3.526	2.903	2.791
	0.0106	3.16e+09	4.909	6.486	6.193	5.386	4.837	4.313	3.548	2.908	2.790
	0.0106	3.55e+09	5.033	6.623	6.323	5.515	4.965	4.438	3.668	3.027	2.906
	0.0106	3.98e+09	5.141	6.766	6.454	5.636	5.081	4.546	3.767	3.121	2.999
	0.0106	4.47e+09	5.229	6.916	6.581	5.744	5.180	4.634	3.842	3.189	3.063
	0.0106	5.01e+09	5.307	7.064	6.701	5.846	5.270	4.713	3.906	3.246	3.117
	0.0106	5.62e+09	5.498	7.238	6.877	6.027	5.456	4.903	4.100	3.445	3.315
	0.0106	6.31e+09	5.564	7.385	6.988	6.119	5.536	4.970	4.152	3.488	3.355
	0.0106	7.08e+09	5.654	7.536	7.109	6.222	5.631	5.059	4.232	3.565	3.430
	0.0106	7.94e+09	5.747	7.687	7.230	6.329	5.730	5.151	4.316	3.646	3.510
	0.0106	8.91e+09	5.831	7.844	7.358	6.440	5.831	5.240	4.387	3.709	3.568
	0.0106	1.00e+10	5.921	7.998	7.480	6.547	5.930	5.330	4.467	3.785	3.643
	0.0106	1.12e+10	6.008	8.156	7.606	6.658	6.031	5.422	4.543	3.855	3.709
	0.0106	1.26e+10	6.090	8.313	7.727	6.762	6.126	5.508	4.614	3.920	3.772
