Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,mass,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source
NGC 4649,E2,E,-22.4,0.2,-25.4,0.1,11.88,0.08,31.1,0.1,3.49,7.12,0.25,385,19,9.68,0.11,0.07,4200,400,4.7,0.7,5.5,0.8,0.84,4.62,94,25,in Prep
NGC 4621,E5,E,-21.7,0.2,-24.6,0.0,11.61,0.08,31.3,0.1,2.60,4.57,0.15,225,3,8.60,0.06,0.06,1750,150,3.7,0.6,4.3,0.7,NA,NA,76,10,in Prep
NGC 4425,SB0,S0,-19.4,0.2,-22.1,0.7,10.57,0.10,31.1,0.6,3.44,1.95,0.90,76,6,9999.00,9999.00,9999.00,90,10,1.6,0.5,2.5,0.8,NA,NA,10,2,In Prep
NGC 4374,E1,E,-22.3,0.2,-25.1,0.1,11.83,0.10,31.3,0.1,3.99,5.46,0.18,296,14,8.95,0.04,0.04,2800,200,3.5,0.5,4.1,0.6,0.59,2.4,83,20,in Prep
NGC 4473,E5,E,-20.9,0.2,-23.8,0.1,11.28,0.08,30.9,0.1,2.17,3.01,0.10,190,9,8.08,0.50,0.12,540,40,2.4,0.5,2.8,0.6,0.65,1.82,33,5,in Prep
NGC 4387,E5,E,-19.6,0.2,-22.1,0.1,10.78,0.10,31.3,0.1,3.62,1.27,0.04,105,3,9999.00,9999.00,9999.00,41,9,0.6,0.3,0.6,0.3,NA,NA,5.5,1,In Prep
NGC 4388,Sb,E,-21.7,0.3,-24.0,0.4,11.41,0.12,32.0,0.4,1.56,4.88,0.50,99,9,6.87,0.01,0.01,70,10,0.3,0.1,0.6,0.3,NA,NA,19,5,In Prep
NGC 5128,Epec,E,-21.7,0.2,-24.0,0.1,11.61,0.08,27.9,0.1,0.20,6.15,0.12,150,7,7.65,0.11,0.14,980,120,1.5,0.2,1.77,0.22,0.53,1.47,NA,NA,Ha04
NGC 5813,E1,E,-22.1,0.2,-25.1,0.2,11.76,0.10,32.5,0.2,0.88,8.93,0.77,237,3,8.83,0.07,0.04,2890,394,3.6,0.8,4.2,0.9,0.68,2.8,121,14,H12
NGC 5866,SA0,S0,-20.9,0.2,-24.1,0.1,11.19,0.10,30.9,0.1,0.24,3.01,0.17,159,10,9999.00,9999.00,9999.00,340,80,1.3,0.4,1.9,0.5,0.74,1.6,44,11,H12
NGC 4762,SB0,S0,-21.5,0.2,-24.6,0.2,11.40,0.10,31.9,0.2,2.65,10.44,1.09,147,10,9999.00,9999.00,9999.00,270,30,0.9,0.2,1.4,0.4,0.4,0.6,27,7,H12
NGC 3384,SB0,S0,-20.5,0.2,-23.6,0.1,11.00,0.08,30.3,0.1,0.54,1.40,0.09,143,7,7.23,0.06,0.02,120,30,0.8,0.2,1.2,0.4,0.6,0.7,17,4,H12
NGC 4754,SB0,S0,-20.7,0.2,-23.6,0.1,11.09,0.10,31.0,0.1,2.62,2.26,0.10,186,3,9999.00,9999.00,9999.00,115,15,0.6,0.1,0.9,0.2,0.4,0.4,15,4,H12
NGC 7457,S0,S0,-19.7,0.3,-22.4,0.2,10.68,0.10,30.6,0.2,0.13,2.06,0.21,67,3,6.59,0.20,0.20,210,30,3.1,0.7,4.8,1.1,0.58,2.8,12,2,H11
NGC 3115,S0,S0,-21.1,0.2,-24.1,0.1,11.26,0.08,30.0,0.1,0.08,1.51,0.06,230,11,8.96,0.17,0.32,122,30,0.78,0.24,1.21,0.36,0.59,0.73,NA,NA,Fa11
NGC 1399,E1pec,E,-22.0,0.2,-25.3,0.1,11.74,0.08,31.6,0.1,1.59,9.70,0.23,337,16,8.67,0.05,0.06,5800,700,9.11,0.8,10.65,0.98,0.6,4.18,NA,NA,Di03/Ba06
NGC 4753,S0,S0,-22.0,0.4,-25.1,0.1,11.60,0.20,31.9,0.1,0.49,5.60,0.23,163,9,9999.00,9999.00,9999.00,1070,120,1.3,0.2,1.5,0.2,NA,NA,50,5,Caso15
NGC 4365,E3,E,-22.0,0.2,-25.2,0.1,11.74,0.08,31.8,0.1,2.93,7.83,0.22,256,3,9999.00,9999.00,9999.00,6450,645,10.1,1.01,11.85,1.2,NA,NA,134,10,Blo11
M 31,Sb,Spiral,-21.7,0.2,-23.5,0.1,11.41,0.10,24.5,0.1,9999.00,4.66,0.12,160,8,8.15,0.10,0.22,450,100,0.9,0.2,1.6,0.4,0.72,1.2,NA,NA,AZ98
Milky Way,Sbc,Spiral,-21.3,0.3,9999.0,9999.0,11.15,0.10,14.6,9999.0,9999.00,0.70,0.10,105,20,6.63,0.04,0.04,160,20,0.5,0.1,1.1,0.1,0.7,0.8,NA,NA,AZ98
