name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,Lb,Lb_err,Lr,Lr_err,Nblue,Nblue_err,Nred,Nred_err,m_K,m_K_err,M_K,M_K_err,name3,name4
NGC4472,E,E2,3.6,0.6,187.4448412,8.0004758,17.03,0.21,31.2,0.0,-23.1,0.2,4.2,0.6,5870,680,Virgo,Cluster,3.31,0.6,2.6,102,7,1,RZ01,12.2,0.1,Our survey,9.25527,0.12,0.12,NGC4472,293.8,2.9,12.65,0.16,12,0.01,0.34,0.03,0.29,0.06,1995,427,1702,590,5.40,0.03,-25.76,0.04,NGC4472,NGC4472
NGC4425,S0,SB0,1.6,0.5,186.8055508,12.7347234,16.8,5,31.1,0.6,-19.4,0.2,2.5,0.8,90,10,Virgo,Cluster,3.44,NA,NA,10,2,16,In Prep,10.6,0.1,Our survey,NA,,,NGC4425,75.9,6.1,1.95,0.9,,0.23,NA,0.10,,0.10,,,,,9.01,0.03,-22.12,0.65,NGC4425,NGC4425
NGC4406,E,E3,3.5,0.5,186.5489285,12.9462217,17.09,0.52,31.2,0.1,-22.3,0.2,4.1,0.6,2900,400,Virgo,Cluster,1.41,0.62,2.5,83,6,2,R04,11.9,0.1,Our survey,NA,,,NGC4406,234.8,3.1,12.69,0.39,11.81,0.02,0.56,0.04,0.14,0.02,1624,356,406,122,6.10,0.03,-25.06,0.07,NGC4406,NGC4406
NGC4382,S0,S0,3.8,0.7,186.3504508,18.1914869,18.5,0.14,31.3,0.0,-22.2,0.2,5.9,1.1,3000,200,Virgo,Cluster,0.5,0.45,1.2,110,12,43,in Prep,11.701,0.08,Our survey,,,,NGC4382,178.7,5,7.48,0.23,11.34,0.04,0.47,0.06,0.19,0.03,1410,286,570,134,6.15,0.02,-25.19,0.03,NGC4382,NGC4382
NGC4374,E,E1,3.5,0.5,186.2655971,12.8869831,18.51,0.61,31.3,0.1,-22.1,0.2,4.1,0.6,2800,200,Virgo,Cluster,3.99,0.59,2.4,83,20,4,In Prep,11.8,0.1,Our survey,8.95,0.04,0.04,NGC4374,296,14,5.46,0.18,11.65,0.05,0.59,0.10,0.41,0.10,1652,418,1148,382,6.22,0.02,-25.12,0.08,NGC4374,NGC4374
NGC4157,Spiral,Sb,0.6,0.3,182.7682083,50.4846667,15.43,3.1,30.9,0.4,-20.4,0.2,1.1,0.6,80,20,Field,Field,1.19,0.55,0.6,21,4,20,R07,10.9,0.1,Our survey,NA,,,NGC4157,90.1,4.3,2.64,0.53,10.3,0.12,0.55,0.10,0.45,0.10,44,21,36,19,7.36,0.02,-23.58,0.44,NGC4157,NGC4157
NGC4013,Spiral,Sb,1,0.2,179.63075,43.9465833,15.1,1.6,30.9,0.2,-20.38,0.31,1.9,0.5,140,20,Field,Field,1.34,0.74,1.4,14,5,24,R10,10.9,0.1,Our survey,NA,,,NGC4013,86.5,8.6,3.424,0.3,10.38,0.12,0.86,0.08,0.14,0.08,120,30,19,15,7.63,0.02,-23.26,0.23,NGC4013,NGC4013
NGC3556,Spiral,Sc,0.9,0.4,167.8790417,55.6741111,12.42,0.9,30.5,0.2,-21.2,0.2,2.2,0.9,290,80,Field,Field,0.15,0.64,1.4,20,4,18,R07,11.1,0.1,Our survey,NA,,,NGC3556,79.4,9.6,5.24,0.4,10.49,0.13,0.64,0.10,0.36,0.10,185,88,104,65,7.04,0.02,-23.43,0.16,NGC3556,NGC3556
NGC3384,S0,SB0,0.8,0.2,162.0703582,12.6292732,11.59,0.76,30.3,0.1,-20.48,0.2,1.2,0.4,120,30,Leo-I,Group,0.54,0.6,0.7,17,4,14,H12,11,0.08,Our survey,7.23,0.06,0.02,NGC3384,143,7,1.4,0.09,10.42,0.07,0.76,0.10,0.24,0.10,91,37,28,21,6.75,0.02,-23.57,0.14,NGC3384,NGC3384
NGC3379,E,E1,1.2,0.3,161.9566158,12.5816239,10.2,0.5,30.0,0.1,-20.9,0.2,1.4,0.3,270,30,Leo-I,Group,0.52,0.7,1,34,4,6,R04,11.3,0.1,Our survey,8.6,0.13,0.1,NGC3379,206,10,1.79,0.14,10.85,0.07,0.49,0.08,0.14,0.04,132,38,37,16,6.27,0.02,-23.77,0.11,NGC3379,NGC3379
NGC2683,Spiral,Sb,0.8,0.4,133.1721992,33.4217389,7.73,1.39,29.4,0.4,-20.47,0.46,1.4,0.7,120,40,Field,Field,0.09,0.68,0.9,9,3,19,R07,10.9,0.2,Our survey,NA,,,NGC2683,117.5,9,2.09,0.38,10.43,0.14,0.68,0.10,0.32,0.10,81,43,38,28,6.33,0.02,-23.11,0.39,NGC2683,NGC2683
NGC1316,S0,SAB0pec,1.2,0.2,NA,NA,17.8,1,31.3,0.1,-22.8,0.2,1.8,0.2,1450,200,Fornax,Cluster,NA,NA,NA,70,10,NA,Richtler12,11.9,0.1,Our survey,8.18,0.34,0.17,NGC1316,227.7,3.1,10.19,0.14,11.69,0.02,NA,0.10,,0.10,,,,,5.59,0.02,-25.67,0.12,NGC1316,NGC1316
NGC1172,E,E,5.2,1,45.4002083,-14.8365833,21.48,2.5,31.7,0.3,-19.9,0.2,6.1,1.2,480,50,Field,Field,0.28,0.56,3.5,21.6,4,42,in Prep,10.892,0.08,Our survey,NA,,,NGC1172,112.4,4.4,4.02,0.39,10.67,0.07,0.56,0.10,0.44,0.10,268,81,211,75,9.22,0.03,-22.45,0.25,NGC1172,NGC1172
NGC1055,Spiral,Sbc,0.9,0.2,40.4384583,0.4431667,16.3,4,31.1,0.5,-21,0.2,1.7,0.5,220,30,Field?,Field,0.25,0.59,1,26,6.9,27,Y12,11.1,0.1,Our survey,NA,,,NGC1055,73.7,13.8,5.34,1.2,10.43,0.24,0.59,0.10,0.41,0.10,129,42,90,37,7.15,0.03,-23.91,0.53,NGC1055,NGC1055
NGC1023,S0,SB0,1.7,0.3,40.1000421,39.063285,11.43,1,30.3,0.2,-21.14,0.2,2.7,0.4,490,30,Field?,Field,0.57,0.57,1.5,20.8,3,10,Y12,11.3,0.1,Our survey,7.62325,0.05,0.04,NGC1023,209,10,2.19,0.15,10.95,0.07,0.57,0.07,0.43,0.07,279,50,210,49,6.24,0.02,-24.05,0.19,NGC1023,NGC1023
M31,Spiral,Sb?,0.9,0.2,10.6847929,41.269065,0.8,0.05,24.5,0.1,-21.8,0.2,1.6,0.4,450,100,Field,Field,NA,0.72,1.2,NA,NA,23,AZ98,11.4,0.1,Other studies,8.14613,0.1,0.22,M31,160,8,4.66,0.12,11.04,0.05,0.26,0.04,0.24,0.05,114,45,108,49,0.98,0.02,-23.53,0.14,M31,M31
Galaxy,Spiral,Sbc,0.5,0.1,NA,NA,0.0083,NA,14.6,,-21.3,0.3,1.1,0.1,160,20,Field,Field,NA,0.7,0.8,NA,NA,22,AZ98,11.2,0.1,Other studies,6.63347,0.04,0.04,Galaxy,105,20,0.7,0.1,9.85,0.21,0.74,0.07,0.26,0.07,117,26,42,17,NA,NA,-24.02,0.10,Galaxy,Galaxy
