0.784129	0.189
0.769562	0.189
0.707786	0.096
0.665824	0.096
0.836187	0.189
0.634209	0.096
0.780004	0.189
0.545415	0.044
0.465259	0.044
0.456928	0.044
0.716049	0.096
0.485773	0.044
0.537545	0.044
0.398286	0.044
0.40611	0.044
0.322396	0.022
0.639963	0.096
0.87491	0.189
0.731235	0.189
0.206644	0.022
0.269665	0.022
0.357888	0.022
0.625709	0.096
0.227973	0.022
0.331299	0.022
0.234984	0.022
0.184546	0.022
0.25454	0.022
0.413928	0.044
0.273081	0.022
0.293391	0.022
0.212646	0.022
0.285895	0.022
0.33916	0.022
0.443816	0.044
0.396158	0.044
0.434542	0.044
0.357445	0.022
0.454551	0.044
0.426884	0.044
0.714014	0.096
0.502684	0.044
0.565884	0.096
0.656512	0.096
0.700792	0.096
0.81531	0.189
0.974963	0.811
0.971136	0.639
0.97579	0.811
0.967544	0.639
0.941677	0.639
0.956492	0.639
0.944577	0.639
0.939866	0.639
0.957969	0.639
0.972261	0.639
0.963031	0.639
0.919734	0.655
0.980316	0.811
0.934772	0.639
0.87768	0.655
0.942144	0.639
0.909382	0.655
0.982936	0.811
0.883821	0.655
0.958585	0.639
0.871045	0.655
0.971212	0.639
0.871252	0.655
0.912777	0.655
0.956252	0.639
0.97245	0.639
0.797267	0.864
0.815184	0.864
0.99967	0.811
0.788176	0.864
0.788146	0.864
0.830216	0.65
0.869857	0.655
0.852189	0.65
0.890386	0.655
0.814417	0.864
0.956857	0.639
0.789372	0.864
0.800938	0.864
0.758786	0.568
0.892652	0.655
0.751139	0.568
0.765544	0.864
0.9018	0.655
0.849652	0.65
0.759726	0.568
0.857226	0.65
0.774442	0.864
0.946571	0.639
0.733604	0.568
0.756497	0.568
0.956747	0.639
0.834193	0.65
0.725904	0.568
0.719265	0.568
0.717919	0.568
0.70551	0.614
0.7006	0.614
0.871205	0.655
0.70905	0.614
0.976047	0.811
0.694527	0.614
0.693075	0.614
0.735383	0.568
0.98615	0.811
0.848558	0.65
0.94996	0.639
0.732117	0.568
0.677466	0.614
0.844036	0.65
0.682874	0.614
0.700086	0.614
0.663627	0.614
0.828588	0.65
0.692278	0.614
0.669891	0.614
0.988566	0.811
0.671275	0.614
0.670553	0.614
0.798049	0.864
0.683368	0.614
0.808189	0.864
0.865253	0.65
0.730928	0.568
0.625222	0.499
0.721592	0.568
0.630007	0.499
0.62862	0.499
0.831983	0.65
0.614383	0.499
0.64947	0.499
0.963615	0.639
0.9002	0.655
0.669273	0.614
0.697066	0.614
0.86556	0.65
0.616922	0.499
0.904819	0.655
0.629533	0.499
0.646967	0.499
0.661301	0.614
0.674255	0.614
0.89087	0.655
0.605823	0.499
0.592707	0.423
0.757669	0.568
0.58434	0.423
0.6856	0.614
0.575202	0.423
0.774119	0.864
0.575283	0.423
0.722804	0.568
0.570742	0.423
0.802094	0.864
0.602584	0.423
0.56415	0.423
0.578654	0.423
0.651797	0.499
0.86051	0.65
0.600002	0.423
0.570257	0.423
0.564233	0.423
