VCC  zmag   gmag    pGC    
1226 21.325 22.477  1.00
1226 22.700 23.797  1.00
1226 21.669 23.038  1.00
1226 20.916 22.297  1.00
1226 21.217 22.557  1.00
1226 22.770 23.611  1.00
1226 22.125 23.073  1.00
1226 22.309 23.501  1.00
1226 21.171 22.102  1.00
1226 21.498 22.893  0.94
1226 23.410 23.974  0.99
1226 19.889 21.288  1.00
1226 23.374 24.089  0.99
1226 22.594 23.934  1.00
1226 22.090 23.492  1.00
1226 22.292 23.785  1.00
1226 22.025 23.261  1.00
1226 21.760 23.246  1.00
1226 21.132 21.966  1.00
1226 21.988 23.412  1.00
1226 22.491 24.052  0.91
1226 21.926 23.799  1.00
1226 20.381 21.664  1.00
1226 21.860 22.935  1.00
1226 21.422 22.863  0.93
1226 23.251 24.347  0.99
1226 22.240 23.996  1.00
1226 21.317 22.253  1.00
1226 23.512 24.424  0.99
1226 23.395 24.361  0.99
1226 23.592 24.868  0.98
1226 21.792 22.603  1.00
1226 19.943 21.507  1.00
1226 19.191 20.593  1.00
1226 21.200 22.646  1.00
1226 19.413 20.820  1.00
1226 22.523 23.368  1.00
1226 21.983 23.548  1.00
1226 21.476 22.513  1.00
1226 21.389 22.779  1.00
1226 21.566 23.040  1.00
1226 20.376 21.670  1.00
1226 18.688 20.246  1.00
1226 23.499 24.973  0.99
1226 22.289 23.664  0.98
1226 20.755 22.282  1.00
1226 23.054 24.717  0.59
1226 22.778 24.486  1.00
1226 22.181 23.931  0.98
1226 23.870 24.710  0.99
1226 23.011 24.047  0.99
1226 22.891 24.294  1.00
1226 20.398 21.237  1.00
1226 23.413 24.739  0.99
1226 22.225 23.435  1.00
1226 22.089 23.000  1.00
1226 23.439 24.066  0.81
1226 21.261 22.260  1.00
1226 22.202 23.808  1.00
1226 21.571 22.452  1.00
1226 22.255 23.641  1.00
1226 23.110 24.109  1.00
1226 22.371 23.866  1.00
1226 21.830 23.057  1.00
1226 23.033 24.385  0.96
1226 22.017 23.365  1.00
1226 22.269 23.695  1.00
1226 21.133 22.707  1.00
1226 20.823 22.371  1.00
1226 19.374 20.621  1.00
1226 21.856 22.873  1.00
1226 21.324 22.677  1.00
1226 22.986 24.761  0.83
1226 21.316 22.370  1.00
1226 23.094 23.962  1.00
1226 23.657 25.043  0.96
1226 21.951 23.596  1.00
1226 22.948 24.514  1.00
1226 23.675 24.457  0.91
1226 24.360 25.409  0.95
1226 23.360 24.942  0.99
1226 22.616 24.056  1.00
1226 23.591 24.940  0.97
1226 23.477 24.493  0.97
1226 20.283 21.950  1.00
1226 22.186 23.726  1.00
1226 22.513 23.175  1.00
1226 22.509 23.273  1.00
1226 20.430 21.881  1.00
1226 20.905 21.806  1.00
1226 21.132 22.266  1.00
1226 20.737 22.287  1.00
1226 22.827 23.439  1.00
1226 21.590 22.549  1.00
1226 22.625 23.755  1.00
1226 24.017 25.356  0.99
1226 23.968 25.631  0.99
1226 22.167 23.464  1.00
1226 21.449 22.902  1.00
1226 22.274 23.793  0.97
1226 24.054 25.501  0.86
1226 23.850 25.543  0.97
1226 20.262 21.176  1.00
1226 21.703 22.776  1.00
1226 23.991 24.609  0.99
1226 23.037 24.650  0.90
1226 23.201 24.506  0.99
1226 21.942 22.906  1.00
1226 20.714 22.192  1.00
1226 23.160 25.024  0.96
1226 23.330 23.860  0.99
1226 21.582 22.580  1.00
1226 23.921 24.974  0.99
1226 22.637 23.480  0.84
1226 23.489 24.175  0.97
1226 21.811 22.787  1.00
1226 23.623 24.993  0.53
1226 24.031 24.863  0.99
1226 22.046 23.137  1.00
1226 23.484 24.949  0.89
1226 22.033 23.425  1.00
1226 23.115 23.959  1.00
1226 22.548 23.935  1.00
1226 21.912 23.521  1.00
1226 23.757 25.018  0.93
1226 22.233 23.193  1.00
1226 22.442 23.830  1.00
1226 23.389 24.635  0.99
1226 23.037 24.696  0.98
1226 21.464 23.074  1.00
1226 22.844 23.800  1.00
1226 22.920 24.251  1.00
1226 21.738 23.227  1.00
1226 24.275 25.476  0.99
1226 21.441 22.715  1.00
1226 22.435 23.939  1.00
1226 22.785 23.649  1.00
1226 22.502 24.005  1.00
1226 23.676 24.787  0.98
1226 21.968 23.190  1.00
1226 23.784 24.847  0.98
1226 23.221 23.757  0.91
1226 20.760 21.643  1.00
1226 22.879 24.210  1.00
1226 23.201 24.116  0.99
1226 24.231 25.965  0.93
1226 21.105 22.342  1.00
1226 23.542 25.100  0.99
1226 21.884 23.529  1.00
1226 23.156 24.451  1.00
1226 22.282 23.595  1.00
1226 23.400 24.190  0.99
1226 20.832 21.727  1.00
1226 20.551 21.614  1.00
1226 21.120 22.595  1.00
1226 22.257 23.611  1.00
1226 23.438 24.821  0.99
1226 21.761 23.356  1.00
1226 22.082 23.421  1.00
1226 22.198 23.420  1.00
1226 23.871 25.217  0.82
1226 20.129 21.014  0.98
1226 23.981 25.119  0.98
1226 24.351 25.036  0.94
1226 22.106 23.558  1.00
1226 20.417 21.614  1.00
1226 21.362 22.369  1.00
1226 23.390 24.385  0.99
1226 22.773 23.582  1.00
1226 22.653 24.012  1.00
1226 22.398 23.864  1.00
1226 23.483 24.919  0.99
1226 21.931 23.022  1.00
1226 23.316 24.564  0.99
1226 23.260 24.748  0.99
1226 23.146 24.697  0.99
1226 20.501 21.851  1.00
1226 23.921 25.237  0.97
1226 23.679 24.504  0.99
1226 22.941 24.524  1.00
1226 20.654 22.021  1.00
1226 24.086 25.729  0.99
1226 21.540 22.587  1.00
1226 21.624 23.096  1.00
1226 23.120 24.168  0.99
1226 23.880 24.871  0.98
1226 21.963 23.333  1.00
1226 21.991 23.118  1.00
1226 21.326 22.361  1.00
1226 24.205 25.858  0.76
1226 21.387 22.967  1.00
1226 21.147 22.005  1.00
1226 21.517 22.329  1.00
